Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.897,0.889,0.908,0.949,0.932,0.949,0.949,0.869
2,0.759,0.751,0.802,0.881,0.861,0.881,0.881,0.826
3,0.625,0.618,0.701,0.813,0.791,0.813,0.813,0.702
4,0.496,0.489,0.62,0.745,0.721,0.745,0.745,0.642
5,0.345,0.339,0.512,0.66,0.632,0.66,0.66,0.575
6,0.292,0.287,0.478,0.627,0.598,0.627,0.627,0.535
7,0.113,0.11,0.329,0.479,0.443,0.479,0.479,0.312
8,0.056,0.054,0.273,0.411,0.372,0.411,0.411,0.216
9,0.019,0.018,0.203,0.338,0.303,0.338,0.338,0.0
10,0.002,0.001,0.147,0.241,0.193,0.241,0.241,0.0
