Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.912,0.909,0.92,0.957,0.949,0.957,0.957,0.864
2,0.807,0.805,0.709,0.906,0.896,0.906,0.906,0.939
3,0.718,0.709,0.619,0.854,0.83,0.854,0.854,0.774
4,0.663,0.652,0.593,0.826,0.793,0.826,0.826,0.617
5,0.564,0.552,0.522,0.772,0.732,0.772,0.772,0.829
6,0.51,0.5,0.482,0.744,0.706,0.744,0.744,0.782
7,0.354,0.35,0.381,0.652,0.626,0.652,0.652,0.689
8,0.19,0.185,0.291,0.541,0.506,0.541,0.541,0.568
9,0.126,0.123,0.259,0.487,0.45,0.487,0.487,0.0
10,0.018,0.018,0.171,0.326,0.3,0.326,0.326,0.0
