Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.893,0.886,0.888,0.948,0.933,0.948,0.948,0.953
2,0.736,0.723,0.763,0.87,0.839,0.87,0.87,0.826
3,0.685,0.666,0.729,0.845,0.797,0.845,0.845,0.858
4,0.529,0.517,0.628,0.765,0.728,0.765,0.765,0.782
5,0.439,0.428,0.569,0.717,0.678,0.717,0.717,0.536
6,0.374,0.364,0.528,0.68,0.64,0.68,0.68,0.346
7,0.239,0.231,0.402,0.596,0.551,0.596,0.596,0.339
8,0.108,0.103,0.309,0.475,0.424,0.475,0.475,0.508
9,0.063,0.06,0.271,0.423,0.369,0.423,0.423,0.0
10,0.03,0.029,0.234,0.367,0.332,0.367,0.367,0.0
