Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.784,0.788,0.414,0.178,0.768,0.664,0.662,0.514,0.666,0.626,0.58,0.467,0.361,0.006,0.755,0.894,0.843,0.461,0.534,0.671,0.492,0.305,0.102,1.0,1.0,1.0
BLEU-4,0.535,0.496,0.225,0.068,0.495,0.355,0.357,0.303,0.61,0.623,0.576,0.463,0.355,0.006,0.563,0.748,0.649,0.106,0.193,0.34,0.128,0.005,0.021,0.922,0.925,0.997
METEOR,0.845,0.867,0.461,0.292,0.817,0.765,0.672,0.471,0.852,0.83,0.846,0.817,0.471,0.164,0.836,0.908,0.888,0.477,0.571,0.723,0.498,0.218,0.235,0.598,0.617,0.617
ROUGE-1,0.796,0.906,0.679,0.523,0.836,0.777,0.758,0.716,0.803,0.761,0.728,0.635,0.657,0.281,0.799,0.901,0.856,0.498,0.552,0.692,0.526,0.316,0.412,0.981,0.981,0.981
ROUGE-4,0.383,0.387,0.219,0.08,0.376,0.244,0.239,0.275,0.678,0.722,0.688,0.599,0.634,0.262,0.456,0.633,0.52,0.026,0.069,0.177,0.039,0.0,0.026,0.803,0.809,0.936
ROUGE-L,0.796,0.739,0.633,0.459,0.78,0.696,0.647,0.637,0.803,0.758,0.728,0.634,0.654,0.281,0.799,0.901,0.841,0.451,0.537,0.675,0.481,0.143,0.316,0.217,0.32,0.514
ROUGE-Lsum,0.796,0.851,0.666,0.508,0.82,0.763,0.748,0.711,0.803,0.761,0.728,0.635,0.657,0.281,0.799,0.901,0.854,0.491,0.55,0.69,0.518,0.31,0.403,0.977,0.977,0.981
VCS_LCT0,0.942,0.981,0.96,0.895,0.984,0.943,0.921,0.936,0.913,0.762,0.753,0.629,0.706,0.0,0.353,0.936,0.978,0.0,0.0,0.866,0.0,0.0,0.821,0.0,0.0,0.4
VCS_LCT1,0.942,0.981,0.961,0.899,0.984,0.958,0.973,0.961,0.913,0.767,0.777,0.687,0.725,0.0,0.372,0.936,0.978,0.0,0.0,0.867,0.0,0.0,0.86,0.425,0.219,0.4
