Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.719,0.86,0.256,0.15,0.695,0.636,0.608,0.248,0.619,0.648,0.609,0.497,0.493,0.025,0.873,0.828,0.85,0.667,0.493,0.579,0.452,0.305,0.078,1.0,1.0,1.0
BLEU-4,0.417,0.642,0.102,0.068,0.388,0.343,0.253,0.11,0.524,0.633,0.606,0.495,0.492,0.024,0.759,0.597,0.621,0.303,0.082,0.146,0.035,0.011,0.018,0.931,0.935,0.997
METEOR,0.805,0.937,0.362,0.293,0.785,0.767,0.602,0.317,0.826,0.777,0.835,0.806,0.528,0.207,0.89,0.849,0.89,0.698,0.434,0.58,0.425,0.227,0.21,0.667,0.696,0.707
ROUGE-1,0.741,0.939,0.588,0.508,0.81,0.771,0.716,0.55,0.767,0.771,0.743,0.653,0.716,0.345,0.89,0.839,0.861,0.674,0.51,0.601,0.474,0.335,0.401,0.975,0.975,0.975
ROUGE-4,0.259,0.549,0.087,0.121,0.258,0.227,0.137,0.119,0.559,0.702,0.704,0.619,0.682,0.317,0.682,0.434,0.468,0.134,0.013,0.042,0.002,0.0,0.023,0.801,0.809,0.924
ROUGE-L,0.715,0.814,0.47,0.429,0.758,0.715,0.609,0.449,0.758,0.769,0.743,0.653,0.716,0.345,0.89,0.826,0.838,0.665,0.431,0.547,0.405,0.14,0.254,0.215,0.385,0.514
ROUGE-Lsum,0.734,0.872,0.548,0.481,0.797,0.757,0.69,0.515,0.766,0.771,0.743,0.653,0.716,0.345,0.89,0.833,0.859,0.669,0.485,0.585,0.463,0.318,0.36,0.958,0.964,0.964
VCS_LCT0,0.931,0.944,0.884,0.834,0.902,0.903,0.936,0.84,0.835,0.618,0.775,0.669,0.663,0.0,0.769,0.884,0.984,0.431,0.339,0.791,0.045,0.0,0.748,0.0,0.142,0.464
VCS_LCT1,0.932,0.964,0.887,0.841,0.937,0.929,0.938,0.85,0.837,0.738,0.814,0.698,0.744,0.0,0.771,0.884,0.984,0.438,0.353,0.792,0.082,0.0,0.751,0.407,0.27,0.469
