Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.832,0.805,0.268,0.163,0.688,0.604,0.659,0.383,0.751,0.63,0.554,0.456,0.347,0.007,0.738,0.878,0.724,0.752,0.464,0.678,0.491,0.318,0.09,1.0,1.0,1.0
BLEU-4,0.638,0.562,0.112,0.057,0.35,0.249,0.328,0.178,0.677,0.627,0.549,0.452,0.342,0.007,0.523,0.714,0.39,0.424,0.09,0.278,0.113,0.005,0.017,0.926,0.924,0.997
METEOR,0.891,0.859,0.327,0.283,0.686,0.576,0.645,0.39,0.86,0.845,0.856,0.828,0.456,0.154,0.824,0.899,0.766,0.783,0.411,0.701,0.497,0.227,0.186,0.527,0.581,0.569
ROUGE-1,0.836,0.911,0.565,0.507,0.771,0.716,0.759,0.643,0.857,0.773,0.716,0.63,0.653,0.279,0.785,0.881,0.745,0.759,0.493,0.701,0.513,0.331,0.4,1.0,1.0,1.0
ROUGE-4,0.499,0.46,0.1,0.061,0.213,0.135,0.216,0.139,0.699,0.767,0.705,0.62,0.632,0.248,0.394,0.586,0.212,0.226,0.016,0.11,0.025,0.0,0.017,0.847,0.849,0.993
ROUGE-L,0.836,0.772,0.484,0.431,0.701,0.593,0.651,0.539,0.856,0.773,0.716,0.63,0.653,0.279,0.785,0.879,0.732,0.754,0.456,0.67,0.502,0.152,0.3,0.249,0.403,0.502
ROUGE-Lsum,0.836,0.884,0.553,0.491,0.767,0.702,0.747,0.632,0.857,0.773,0.716,0.63,0.653,0.279,0.785,0.881,0.745,0.756,0.488,0.692,0.511,0.327,0.387,1.0,1.0,1.0
VCS_LCT0,0.946,0.987,0.946,0.863,0.967,0.952,0.947,0.929,0.891,0.758,0.691,0.562,0.655,0.175,0.207,0.947,0.916,0.188,0.339,0.76,0.212,0.0,0.73,0.0,0.092,0.46
VCS_LCT1,0.946,0.987,0.948,0.908,0.967,0.952,0.948,0.94,0.891,0.762,0.695,0.567,0.711,0.26,0.207,0.947,0.916,0.188,0.344,0.76,0.212,0.0,0.845,0.458,0.238,0.46
