Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.893,0.722,0.378,0.168,0.711,0.589,0.642,0.343,0.704,0.682,0.544,0.451,0.241,0.009,0.8,0.88,0.764,0.483,0.57,0.609,0.502,0.338,0.054,1.0,1.0,1.0
BLEU-4,0.771,0.47,0.212,0.066,0.42,0.259,0.325,0.16,0.649,0.679,0.541,0.449,0.239,0.009,0.631,0.733,0.478,0.171,0.212,0.193,0.067,0.005,0.014,0.917,0.923,0.997
METEOR,0.929,0.785,0.383,0.259,0.737,0.621,0.628,0.337,0.852,0.832,0.814,0.788,0.382,0.168,0.866,0.9,0.811,0.502,0.609,0.636,0.458,0.241,0.165,0.609,0.664,0.611
ROUGE-1,0.907,0.84,0.652,0.516,0.8,0.707,0.738,0.586,0.823,0.808,0.704,0.621,0.582,0.296,0.829,0.884,0.774,0.492,0.592,0.62,0.516,0.36,0.348,0.997,0.997,0.997
ROUGE-4,0.685,0.36,0.216,0.083,0.285,0.144,0.196,0.136,0.7,0.796,0.693,0.612,0.569,0.277,0.517,0.618,0.301,0.063,0.087,0.055,0.009,0.0,0.024,0.821,0.835,0.984
ROUGE-L,0.902,0.715,0.613,0.456,0.733,0.59,0.652,0.501,0.823,0.808,0.704,0.621,0.582,0.296,0.829,0.884,0.748,0.481,0.543,0.598,0.393,0.156,0.256,0.233,0.429,0.531
ROUGE-Lsum,0.907,0.79,0.632,0.487,0.786,0.68,0.73,0.561,0.823,0.808,0.704,0.621,0.582,0.296,0.829,0.884,0.768,0.488,0.581,0.614,0.496,0.346,0.321,0.968,0.977,0.997
VCS_LCT0,0.991,0.976,0.912,0.861,0.974,0.944,0.926,0.809,0.858,0.781,0.757,0.602,0.582,0.0,0.383,0.874,0.974,0.004,0.247,0.802,0.0,0.0,0.72,0.0,0.077,0.438
VCS_LCT1,0.991,0.976,0.939,0.878,0.974,0.945,0.94,0.853,0.858,0.785,0.776,0.647,0.683,0.0,0.398,0.874,0.974,0.004,0.273,0.802,0.0,0.0,0.774,0.43,0.221,0.443
