Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.75,0.856,0.376,0.362,0.667,0.558,0.572,0.693,0.677,0.679,0.551,0.461,0.273,0.009,0.921,0.809,0.82,0.569,0.508,0.636,0.481,0.316,0.219,0.991,0.991,0.991
BLEU-4,0.484,0.621,0.151,0.124,0.331,0.237,0.264,0.467,0.57,0.653,0.545,0.456,0.266,0.008,0.804,0.589,0.597,0.214,0.106,0.245,0.115,0.009,0.09,0.899,0.904,0.981
METEOR,0.819,0.935,0.368,0.349,0.71,0.656,0.666,0.606,0.881,0.759,0.808,0.784,0.393,0.159,0.93,0.829,0.854,0.61,0.475,0.678,0.496,0.221,0.275,0.614,0.636,0.648
ROUGE-1,0.767,0.931,0.595,0.596,0.787,0.713,0.722,0.81,0.811,0.797,0.702,0.625,0.593,0.288,0.922,0.818,0.833,0.594,0.53,0.656,0.497,0.337,0.5,0.973,0.973,0.973
ROUGE-4,0.333,0.503,0.1,0.066,0.204,0.142,0.165,0.376,0.579,0.699,0.654,0.582,0.549,0.242,0.703,0.442,0.45,0.082,0.018,0.104,0.027,0.0,0.09,0.768,0.777,0.913
ROUGE-L,0.753,0.815,0.506,0.49,0.72,0.63,0.613,0.749,0.809,0.792,0.699,0.622,0.59,0.285,0.922,0.803,0.822,0.562,0.472,0.614,0.456,0.146,0.429,0.217,0.334,0.529
ROUGE-Lsum,0.762,0.878,0.581,0.576,0.771,0.708,0.693,0.793,0.811,0.796,0.702,0.625,0.593,0.288,0.922,0.818,0.829,0.592,0.523,0.647,0.494,0.331,0.491,0.942,0.962,0.956
VCS_LCT0,0.934,0.977,0.905,0.893,0.926,0.869,0.852,0.87,0.901,0.675,0.673,0.495,0.564,0.0,0.691,0.682,0.95,0.0,0.0,0.545,0.0,0.0,0.646,0.013,0.055,0.417
VCS_LCT1,0.936,0.988,0.913,0.898,0.928,0.871,0.904,0.882,0.901,0.702,0.678,0.497,0.686,0.0,0.691,0.682,0.95,0.0,0.0,0.545,0.0,0.0,0.887,0.458,0.154,0.417
