Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.954,0.731,0.448,0.181,0.659,0.516,0.661,0.141,0.664,0.672,0.618,0.524,0.39,0.019,0.917,0.905,0.889,0.706,0.641,0.715,0.514,0.351,0.08,0.986,0.986,0.986
BLEU-4,0.888,0.418,0.237,0.075,0.305,0.196,0.311,0.03,0.6,0.656,0.609,0.516,0.378,0.018,0.753,0.788,0.72,0.329,0.299,0.382,0.117,0.005,0.021,0.919,0.917,0.972
METEOR,0.975,0.806,0.403,0.234,0.637,0.583,0.608,0.211,0.847,0.722,0.844,0.822,0.457,0.194,0.923,0.917,0.917,0.719,0.681,0.756,0.479,0.242,0.201,0.567,0.642,0.609
ROUGE-1,0.954,0.864,0.675,0.498,0.749,0.664,0.753,0.429,0.797,0.801,0.765,0.689,0.67,0.33,0.918,0.908,0.891,0.718,0.657,0.72,0.534,0.37,0.396,0.985,0.985,0.985
ROUGE-4,0.833,0.296,0.206,0.083,0.165,0.1,0.169,0.023,0.654,0.749,0.728,0.655,0.615,0.288,0.626,0.691,0.585,0.169,0.149,0.213,0.032,0.0,0.028,0.842,0.84,0.944
ROUGE-L,0.954,0.675,0.585,0.423,0.652,0.55,0.604,0.312,0.796,0.799,0.761,0.686,0.664,0.326,0.9,0.903,0.888,0.67,0.647,0.704,0.489,0.162,0.308,0.226,0.45,0.507
ROUGE-Lsum,0.954,0.803,0.644,0.472,0.735,0.653,0.717,0.402,0.797,0.799,0.765,0.689,0.67,0.33,0.918,0.908,0.891,0.709,0.652,0.718,0.527,0.352,0.361,0.985,0.985,0.985
VCS_LCT0,0.971,0.929,0.915,0.81,0.909,0.829,0.929,0.759,0.869,0.666,0.681,0.534,0.561,0.0,0.841,0.744,0.933,0.244,0.17,0.63,0.0,0.0,0.651,0.0,0.0,0.437
VCS_LCT1,0.971,0.941,0.953,0.879,0.912,0.834,0.931,0.836,0.869,0.77,0.689,0.545,0.633,0.0,0.841,0.744,0.933,0.244,0.17,0.63,0.0,0.0,0.772,0.455,0.213,0.437
