Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.72,0.827,0.525,0.278,0.825,0.674,0.579,0.45,0.733,0.662,0.47,0.355,0.44,0.014,0.713,0.872,0.869,0.542,0.672,0.675,0.516,0.392,0.075,1.0,1.0,1.0
BLEU-4,0.406,0.549,0.257,0.108,0.658,0.454,0.27,0.189,0.651,0.66,0.466,0.351,0.434,0.014,0.478,0.691,0.683,0.206,0.342,0.314,0.125,0.014,0.022,0.874,0.88,0.997
METEOR,0.778,0.899,0.448,0.305,0.818,0.74,0.579,0.405,0.888,0.823,0.834,0.79,0.505,0.184,0.805,0.892,0.903,0.565,0.699,0.718,0.528,0.266,0.166,0.548,0.641,0.569
ROUGE-1,0.736,0.91,0.736,0.536,0.894,0.798,0.69,0.659,0.845,0.796,0.644,0.529,0.705,0.319,0.755,0.875,0.875,0.567,0.686,0.687,0.537,0.406,0.366,1.0,1.0,1.0
ROUGE-4,0.238,0.423,0.207,0.097,0.59,0.383,0.18,0.14,0.666,0.791,0.635,0.521,0.685,0.3,0.342,0.55,0.539,0.073,0.178,0.147,0.028,0.0,0.05,0.755,0.766,0.993
ROUGE-L,0.721,0.776,0.671,0.486,0.873,0.773,0.588,0.536,0.843,0.796,0.644,0.529,0.705,0.319,0.748,0.867,0.869,0.565,0.671,0.67,0.509,0.172,0.294,0.216,0.349,0.502
ROUGE-Lsum,0.734,0.875,0.728,0.53,0.89,0.792,0.675,0.645,0.845,0.796,0.644,0.529,0.705,0.319,0.755,0.875,0.875,0.567,0.686,0.687,0.537,0.395,0.363,1.0,1.0,1.0
VCS_LCT0,0.93,0.96,0.911,0.652,0.983,0.947,0.918,0.844,0.909,0.778,0.758,0.598,0.659,0.095,0.224,0.873,0.983,0.0,0.265,0.804,0.0,0.0,0.637,0.0,0.078,0.468
VCS_LCT1,0.93,0.971,0.948,0.724,0.986,0.947,0.945,0.872,0.909,0.78,0.758,0.599,0.695,0.21,0.224,0.873,0.983,0.0,0.275,0.804,0.0,0.0,0.771,0.47,0.204,0.468
