Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.836,0.779,0.726,0.333,0.791,0.682,0.594,0.322,0.641,0.645,0.492,0.384,0.324,0.007,0.867,0.88,0.847,0.632,0.519,0.691,0.44,0.298,0.1,1.0,1.0,1.0
BLEU-4,0.646,0.418,0.527,0.145,0.594,0.444,0.383,0.136,0.557,0.642,0.49,0.382,0.322,0.007,0.751,0.722,0.619,0.25,0.111,0.332,0.056,0.005,0.033,0.879,0.884,0.997
METEOR,0.892,0.835,0.671,0.373,0.846,0.802,0.743,0.332,0.816,0.855,0.847,0.805,0.461,0.175,0.892,0.899,0.891,0.643,0.445,0.766,0.377,0.213,0.191,0.617,0.679,0.724
ROUGE-1,0.842,0.901,0.854,0.63,0.874,0.805,0.742,0.591,0.78,0.781,0.657,0.553,0.633,0.284,0.885,0.887,0.861,0.653,0.544,0.709,0.455,0.314,0.403,0.987,0.987,0.987
ROUGE-4,0.511,0.253,0.474,0.125,0.501,0.351,0.321,0.123,0.588,0.747,0.632,0.532,0.612,0.265,0.665,0.598,0.467,0.091,0.02,0.165,0.007,0.0,0.042,0.739,0.748,0.954
ROUGE-L,0.833,0.662,0.803,0.535,0.848,0.76,0.672,0.5,0.777,0.774,0.655,0.552,0.633,0.284,0.881,0.881,0.84,0.636,0.457,0.683,0.386,0.142,0.313,0.199,0.283,0.497
ROUGE-Lsum,0.837,0.797,0.84,0.613,0.868,0.796,0.728,0.577,0.78,0.779,0.657,0.553,0.633,0.284,0.885,0.887,0.855,0.651,0.535,0.703,0.451,0.312,0.374,0.963,0.974,0.987
VCS_LCT0,0.976,0.968,0.934,0.91,0.935,0.904,0.905,0.844,0.863,0.788,0.701,0.509,0.668,0.0,0.633,0.887,0.98,0.0,0.0,0.86,0.0,0.0,0.706,0.0,0.015,0.437
VCS_LCT1,0.976,0.968,0.956,0.925,0.966,0.906,0.906,0.879,0.866,0.79,0.705,0.514,0.687,0.0,0.634,0.887,0.98,0.0,0.0,0.861,0.0,0.0,0.801,0.437,0.113,0.439
