Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.759,0.752,0.495,0.287,0.593,0.515,0.57,0.513,0.657,0.641,0.611,0.497,0.364,0.046,0.824,0.872,0.817,0.578,0.581,0.685,0.481,0.331,0.132,1.0,1.0,1.0
BLEU-4,0.469,0.438,0.272,0.113,0.296,0.246,0.289,0.273,0.58,0.638,0.606,0.493,0.358,0.045,0.671,0.701,0.583,0.218,0.22,0.357,0.099,0.005,0.034,0.931,0.932,0.997
METEOR,0.829,0.843,0.456,0.311,0.635,0.62,0.621,0.484,0.863,0.831,0.854,0.827,0.457,0.233,0.862,0.893,0.847,0.646,0.609,0.693,0.489,0.25,0.224,0.612,0.663,0.608
ROUGE-1,0.772,0.869,0.719,0.593,0.726,0.669,0.711,0.71,0.797,0.776,0.759,0.665,0.655,0.388,0.85,0.878,0.831,0.615,0.594,0.699,0.497,0.361,0.444,0.993,0.993,0.993
ROUGE-4,0.296,0.316,0.24,0.109,0.207,0.181,0.211,0.227,0.628,0.759,0.735,0.644,0.612,0.359,0.573,0.564,0.422,0.083,0.08,0.189,0.016,0.0,0.034,0.844,0.846,0.972
ROUGE-L,0.763,0.694,0.632,0.491,0.633,0.569,0.624,0.611,0.795,0.776,0.757,0.664,0.652,0.388,0.848,0.873,0.809,0.606,0.566,0.69,0.467,0.135,0.31,0.233,0.356,0.532
ROUGE-Lsum,0.77,0.796,0.691,0.556,0.709,0.65,0.698,0.688,0.797,0.776,0.759,0.665,0.655,0.388,0.85,0.875,0.822,0.613,0.587,0.699,0.497,0.346,0.424,0.993,0.993,0.993
VCS_LCT0,0.937,0.976,0.955,0.886,0.937,0.901,0.926,0.959,0.836,0.753,0.776,0.654,0.646,0.0,0.527,0.861,0.91,0.0,0.0,0.799,0.0,0.0,0.777,0.0,0.0,0.443
VCS_LCT1,0.937,0.976,0.955,0.929,0.938,0.903,0.928,0.959,0.844,0.76,0.783,0.66,0.72,0.0,0.527,0.861,0.91,0.0,0.0,0.799,0.0,0.0,0.854,0.438,0.131,0.443
