Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.86,0.786,0.175,0.183,0.513,0.453,0.424,0.185,0.707,0.635,0.401,0.292,0.313,0.021,0.854,0.922,0.812,0.675,0.609,0.67,0.458,0.299,0.024,0.987,0.987,0.987
BLEU-4,0.695,0.421,0.059,0.086,0.149,0.12,0.113,0.073,0.652,0.588,0.395,0.287,0.308,0.02,0.691,0.839,0.567,0.377,0.206,0.246,0.055,0.005,0.004,0.814,0.815,0.974
METEOR,0.915,0.769,0.264,0.301,0.538,0.511,0.457,0.252,0.94,0.632,0.806,0.751,0.437,0.198,0.882,0.936,0.849,0.701,0.658,0.691,0.387,0.228,0.146,0.549,0.595,0.575
ROUGE-1,0.875,0.885,0.507,0.531,0.683,0.622,0.59,0.483,0.842,0.779,0.579,0.458,0.622,0.33,0.874,0.921,0.825,0.69,0.624,0.692,0.483,0.335,0.299,0.987,0.987,0.987
ROUGE-4,0.569,0.248,0.058,0.134,0.061,0.049,0.043,0.089,0.727,0.657,0.55,0.435,0.583,0.291,0.585,0.768,0.414,0.209,0.073,0.097,0.007,0.0,0.014,0.642,0.644,0.948
ROUGE-L,0.869,0.657,0.398,0.448,0.518,0.47,0.437,0.347,0.842,0.774,0.574,0.454,0.619,0.33,0.874,0.921,0.809,0.675,0.581,0.627,0.371,0.146,0.233,0.197,0.325,0.567
ROUGE-Lsum,0.875,0.815,0.48,0.531,0.659,0.602,0.576,0.462,0.842,0.777,0.579,0.458,0.622,0.33,0.874,0.921,0.825,0.688,0.622,0.685,0.475,0.326,0.292,0.981,0.985,0.983
VCS_LCT0,0.735,0.881,0.687,0.738,0.77,0.663,0.679,0.63,0.8,0.661,0.526,0.214,0.681,0.0,0.656,0.793,0.957,0.291,0.213,0.76,0.0,0.0,0.632,0.0,0.0,0.47
VCS_LCT1,0.735,0.912,0.806,0.824,0.776,0.677,0.693,0.832,0.801,0.7,0.544,0.248,0.727,0.018,0.656,0.793,0.957,0.295,0.222,0.763,0.0,0.0,0.703,0.452,0.04,0.47
