Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.886,0.948,0.374,0.145,0.573,0.49,0.605,0.532,0.716,0.66,0.592,0.476,0.446,0.026,0.909,0.878,0.863,0.774,0.561,0.67,0.472,0.327,0.106,1.0,1.0,1.0
BLEU-4,0.729,0.839,0.111,0.045,0.243,0.179,0.26,0.314,0.641,0.652,0.588,0.473,0.443,0.026,0.771,0.737,0.681,0.498,0.171,0.341,0.068,0.01,0.029,0.932,0.939,0.996
METEOR,0.918,0.947,0.348,0.234,0.619,0.59,0.588,0.447,0.852,0.724,0.824,0.794,0.51,0.196,0.919,0.895,0.871,0.797,0.58,0.7,0.441,0.252,0.223,0.616,0.643,0.632
ROUGE-1,0.891,0.972,0.615,0.478,0.734,0.666,0.731,0.716,0.834,0.777,0.726,0.633,0.687,0.336,0.912,0.881,0.868,0.781,0.579,0.682,0.477,0.372,0.411,0.967,0.967,0.967
ROUGE-4,0.61,0.784,0.06,0.058,0.14,0.095,0.139,0.282,0.67,0.702,0.67,0.582,0.626,0.283,0.662,0.621,0.55,0.327,0.057,0.177,0.007,0.0,0.03,0.772,0.784,0.896
ROUGE-L,0.888,0.919,0.493,0.403,0.62,0.538,0.62,0.604,0.834,0.772,0.724,0.63,0.687,0.336,0.912,0.881,0.866,0.781,0.567,0.669,0.454,0.174,0.311,0.255,0.335,0.506
ROUGE-Lsum,0.891,0.941,0.568,0.45,0.696,0.626,0.71,0.669,0.834,0.775,0.726,0.633,0.687,0.336,0.912,0.881,0.868,0.781,0.574,0.672,0.472,0.367,0.378,0.927,0.954,0.967
VCS_LCT0,0.982,0.981,0.932,0.852,0.917,0.876,0.934,0.9,0.897,0.671,0.679,0.518,0.619,0.0,0.682,0.739,0.957,0.326,0.0,0.61,0.0,0.0,0.845,0.0,0.068,0.379
VCS_LCT1,0.982,0.992,0.935,0.887,0.919,0.878,0.935,0.948,0.897,0.793,0.758,0.661,0.73,0.0,0.682,0.739,0.978,0.367,0.0,0.625,0.0,0.0,0.854,0.406,0.173,0.379
