Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.843,0.783,0.292,0.246,0.788,0.602,0.636,0.363,0.815,0.672,0.555,0.455,0.391,0.039,0.718,0.906,0.806,0.6,0.67,0.662,0.584,0.319,0.037,1.0,1.0,1.0
BLEU-4,0.645,0.505,0.107,0.086,0.506,0.3,0.283,0.108,0.779,0.67,0.553,0.453,0.39,0.039,0.515,0.773,0.542,0.305,0.329,0.271,0.14,0.005,0.003,0.916,0.921,0.997
METEOR,0.892,0.823,0.338,0.322,0.785,0.677,0.642,0.359,0.947,0.859,0.868,0.84,0.488,0.228,0.81,0.917,0.855,0.68,0.687,0.7,0.619,0.233,0.15,0.558,0.635,0.596
ROUGE-1,0.851,0.872,0.612,0.577,0.833,0.719,0.716,0.635,0.898,0.804,0.717,0.628,0.682,0.385,0.762,0.91,0.817,0.632,0.679,0.674,0.594,0.347,0.342,1.0,1.0,1.0
ROUGE-4,0.496,0.368,0.082,0.066,0.354,0.185,0.145,0.051,0.821,0.799,0.711,0.623,0.674,0.368,0.398,0.656,0.365,0.155,0.161,0.118,0.025,0.0,0.0,0.833,0.842,0.994
ROUGE-L,0.849,0.729,0.531,0.503,0.781,0.651,0.627,0.463,0.898,0.804,0.717,0.628,0.682,0.385,0.762,0.91,0.81,0.628,0.667,0.651,0.592,0.15,0.229,0.23,0.34,0.526
ROUGE-Lsum,0.851,0.834,0.581,0.56,0.821,0.707,0.701,0.586,0.898,0.804,0.717,0.628,0.682,0.385,0.762,0.91,0.817,0.632,0.677,0.669,0.594,0.34,0.332,1.0,1.0,1.0
VCS_LCT0,0.985,0.979,0.908,0.92,0.989,0.92,0.968,0.807,0.916,0.766,0.697,0.562,0.683,0.003,0.404,0.842,0.969,0.0,0.238,0.713,0.158,0.0,0.644,0.0,0.028,0.437
VCS_LCT1,0.985,0.979,0.924,0.922,0.989,0.92,0.968,0.922,0.916,0.77,0.702,0.574,0.734,0.132,0.404,0.842,0.969,0.0,0.238,0.713,0.158,0.0,0.774,0.464,0.194,0.437
