Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.925,0.934,0.158,0.115,0.647,0.552,0.532,0.254,0.758,0.635,0.632,0.538,0.397,0.074,0.838,0.895,0.821,0.725,0.75,0.699,0.565,0.347,0.075,0.991,0.991,0.991
BLEU-4,0.818,0.837,0.058,0.04,0.274,0.205,0.159,0.072,0.701,0.626,0.625,0.531,0.392,0.072,0.673,0.768,0.585,0.482,0.473,0.379,0.134,0.005,0.029,0.936,0.93,0.981
METEOR,0.956,0.986,0.241,0.226,0.627,0.551,0.504,0.27,0.905,0.741,0.866,0.843,0.474,0.263,0.872,0.912,0.825,0.758,0.819,0.707,0.575,0.239,0.17,0.569,0.636,0.619
ROUGE-1,0.926,0.972,0.486,0.448,0.76,0.693,0.656,0.513,0.861,0.777,0.777,0.703,0.686,0.44,0.859,0.898,0.833,0.745,0.772,0.72,0.58,0.363,0.378,0.993,0.993,0.993
ROUGE-4,0.727,0.784,0.071,0.059,0.139,0.095,0.065,0.048,0.737,0.751,0.759,0.686,0.666,0.41,0.556,0.66,0.418,0.328,0.315,0.223,0.031,0.0,0.075,0.879,0.873,0.974
ROUGE-L,0.926,0.921,0.382,0.373,0.643,0.566,0.454,0.368,0.86,0.776,0.776,0.701,0.683,0.436,0.859,0.898,0.82,0.745,0.761,0.695,0.547,0.171,0.3,0.262,0.459,0.531
ROUGE-Lsum,0.926,0.955,0.471,0.428,0.735,0.663,0.614,0.483,0.86,0.776,0.777,0.703,0.686,0.44,0.859,0.898,0.831,0.745,0.766,0.713,0.567,0.343,0.361,0.993,0.993,0.993
VCS_LCT0,0.978,0.975,0.799,0.693,0.949,0.906,0.879,0.819,0.917,0.69,0.666,0.568,0.622,0.0,0.72,0.795,0.976,0.076,0.761,0.794,0.29,0.0,0.799,0.0,0.0,0.377
VCS_LCT1,0.978,0.975,0.81,0.791,0.958,0.907,0.887,0.89,0.917,0.768,0.67,0.571,0.732,0.0,0.72,0.795,0.976,0.076,0.761,0.794,0.29,0.0,0.815,0.461,0.214,0.377
