Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.758,0.772,0.192,0.09,0.593,0.547,0.568,0.29,0.709,0.624,0.506,0.402,0.371,0.049,0.817,0.892,0.777,0.731,0.499,0.656,0.52,0.328,0.042,1.0,1.0,1.0
BLEU-4,0.462,0.446,0.065,0.025,0.221,0.192,0.206,0.082,0.667,0.609,0.504,0.4,0.369,0.048,0.665,0.753,0.505,0.434,0.139,0.255,0.139,0.02,0.01,0.893,0.901,0.997
METEOR,0.827,0.839,0.266,0.215,0.608,0.601,0.537,0.296,0.86,0.703,0.827,0.793,0.469,0.241,0.882,0.909,0.848,0.762,0.521,0.69,0.555,0.227,0.165,0.559,0.653,0.594
ROUGE-1,0.776,0.874,0.508,0.417,0.707,0.676,0.669,0.546,0.831,0.762,0.672,0.576,0.67,0.401,0.849,0.898,0.808,0.744,0.545,0.684,0.557,0.342,0.344,0.99,0.99,0.99
ROUGE-4,0.299,0.296,0.056,0.033,0.107,0.09,0.095,0.057,0.737,0.716,0.657,0.563,0.658,0.384,0.571,0.639,0.338,0.255,0.044,0.094,0.035,0.002,0.021,0.778,0.787,0.971
ROUGE-L,0.75,0.684,0.44,0.316,0.578,0.551,0.512,0.362,0.831,0.762,0.672,0.576,0.67,0.401,0.847,0.896,0.78,0.744,0.481,0.641,0.516,0.161,0.252,0.247,0.363,0.556
ROUGE-Lsum,0.772,0.812,0.502,0.401,0.684,0.655,0.633,0.518,0.831,0.762,0.672,0.576,0.67,0.401,0.849,0.898,0.808,0.744,0.534,0.675,0.553,0.335,0.327,0.947,0.99,0.971
VCS_LCT0,0.968,0.905,0.618,0.713,0.924,0.902,0.861,0.765,0.87,0.721,0.713,0.602,0.655,0.0,0.756,0.87,0.977,0.063,0.0,0.838,0.0,0.0,0.538,0.0,0.0,0.45
VCS_LCT1,0.968,0.94,0.829,0.876,0.927,0.905,0.931,0.892,0.892,0.773,0.75,0.64,0.688,0.034,0.758,0.87,0.977,0.063,0.0,0.838,0.0,0.0,0.746,0.442,0.129,0.45
