Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.736,0.807,0.369,0.286,0.538,0.433,0.569,0.387,0.756,0.696,0.531,0.441,0.341,0.075,0.857,0.854,0.763,0.494,0.528,0.662,0.523,0.291,0.075,1.0,1.0,1.0
BLEU-4,0.435,0.604,0.153,0.09,0.202,0.151,0.251,0.187,0.701,0.673,0.529,0.439,0.338,0.074,0.695,0.649,0.454,0.096,0.122,0.284,0.119,0.008,0.02,0.908,0.91,0.996
METEOR,0.807,0.936,0.353,0.311,0.604,0.524,0.605,0.363,0.892,0.707,0.77,0.746,0.373,0.22,0.877,0.879,0.815,0.534,0.558,0.718,0.558,0.22,0.181,0.556,0.614,0.598
ROUGE-1,0.743,0.916,0.632,0.558,0.677,0.599,0.71,0.611,0.862,0.821,0.696,0.614,0.648,0.435,0.857,0.855,0.779,0.521,0.54,0.666,0.528,0.317,0.402,1.0,1.0,1.0
ROUGE-4,0.264,0.517,0.113,0.06,0.098,0.072,0.152,0.16,0.744,0.767,0.69,0.608,0.634,0.416,0.577,0.488,0.273,0.015,0.022,0.116,0.022,0.0,0.031,0.819,0.824,0.993
ROUGE-L,0.74,0.811,0.542,0.478,0.59,0.498,0.631,0.486,0.862,0.821,0.696,0.614,0.648,0.435,0.857,0.853,0.767,0.474,0.522,0.654,0.516,0.154,0.303,0.241,0.346,0.622
ROUGE-Lsum,0.743,0.884,0.612,0.551,0.661,0.575,0.691,0.592,0.862,0.821,0.696,0.614,0.648,0.435,0.857,0.855,0.774,0.511,0.532,0.663,0.518,0.303,0.383,0.963,0.966,1.0
VCS_LCT0,0.878,0.951,0.704,0.829,0.93,0.828,0.841,0.883,0.905,0.665,0.724,0.646,0.61,0.0,0.788,0.806,0.862,0.343,0.419,0.686,0.119,0.0,0.504,0.0,0.0,0.418
VCS_LCT1,0.878,0.951,0.809,0.915,0.939,0.886,0.907,0.891,0.906,0.721,0.743,0.695,0.706,0.067,0.788,0.806,0.866,0.399,0.438,0.691,0.15,0.0,0.606,0.417,0.144,0.418
