Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.824,0.806,0.222,0.115,0.515,0.448,0.537,0.222,0.692,0.695,0.586,0.489,0.356,0.011,0.806,0.869,0.805,0.698,0.486,0.646,0.423,0.329,0.079,0.995,0.995,0.995
BLEU-4,0.634,0.506,0.062,0.034,0.171,0.133,0.207,0.07,0.634,0.683,0.581,0.485,0.353,0.01,0.647,0.694,0.515,0.368,0.124,0.279,0.024,0.012,0.018,0.921,0.926,0.988
METEOR,0.862,0.915,0.264,0.203,0.547,0.523,0.572,0.252,0.89,0.784,0.827,0.801,0.445,0.157,0.851,0.883,0.837,0.71,0.481,0.664,0.417,0.242,0.177,0.594,0.631,0.642
ROUGE-1,0.837,0.908,0.519,0.439,0.66,0.611,0.668,0.49,0.818,0.803,0.726,0.646,0.637,0.288,0.833,0.868,0.841,0.697,0.511,0.668,0.444,0.353,0.336,0.975,0.975,0.975
ROUGE-4,0.505,0.388,0.048,0.052,0.085,0.063,0.115,0.054,0.687,0.737,0.678,0.603,0.587,0.24,0.535,0.551,0.347,0.19,0.036,0.127,0.0,0.0,0.028,0.789,0.798,0.912
ROUGE-L,0.835,0.741,0.43,0.371,0.518,0.474,0.573,0.392,0.818,0.803,0.726,0.646,0.637,0.288,0.833,0.868,0.793,0.692,0.466,0.638,0.42,0.157,0.256,0.26,0.447,0.495
ROUGE-Lsum,0.837,0.871,0.497,0.432,0.634,0.588,0.655,0.455,0.818,0.803,0.726,0.646,0.637,0.288,0.833,0.868,0.828,0.694,0.508,0.661,0.437,0.335,0.308,0.942,0.949,0.975
VCS_LCT0,0.97,0.98,0.918,0.867,0.899,0.846,0.938,0.895,0.923,0.522,0.752,0.655,0.537,0.0,0.486,0.822,0.966,0.0,0.0,0.543,0.0,0.0,0.745,0.0,0.075,0.417
VCS_LCT1,0.97,0.987,0.921,0.902,0.902,0.852,0.939,0.898,0.923,0.668,0.771,0.683,0.639,0.0,0.486,0.822,0.986,0.0,0.0,0.563,0.0,0.0,0.821,0.47,0.093,0.417
