Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.741,0.807,0.267,0.085,0.565,0.485,0.531,0.342,0.667,0.642,0.551,0.439,0.454,0.033,0.813,0.909,0.84,0.634,0.676,0.661,0.501,0.316,0.164,0.989,0.989,0.989
BLEU-4,0.442,0.535,0.105,0.023,0.194,0.145,0.134,0.1,0.589,0.619,0.543,0.433,0.451,0.033,0.629,0.792,0.595,0.329,0.342,0.291,0.138,0.01,0.037,0.897,0.898,0.977
METEOR,0.818,0.902,0.351,0.221,0.633,0.539,0.537,0.316,0.815,0.728,0.801,0.771,0.477,0.2,0.864,0.928,0.912,0.701,0.768,0.756,0.53,0.276,0.239,0.564,0.614,0.623
ROUGE-1,0.767,0.918,0.558,0.434,0.698,0.644,0.657,0.597,0.804,0.745,0.682,0.587,0.663,0.337,0.825,0.915,0.86,0.667,0.683,0.7,0.521,0.377,0.465,0.937,0.937,0.937
ROUGE-4,0.3,0.415,0.109,0.043,0.109,0.067,0.042,0.071,0.633,0.609,0.586,0.505,0.58,0.278,0.494,0.708,0.441,0.179,0.181,0.158,0.043,0.0,0.037,0.69,0.695,0.812
ROUGE-L,0.747,0.779,0.481,0.353,0.629,0.565,0.525,0.43,0.804,0.741,0.678,0.584,0.663,0.337,0.825,0.915,0.842,0.665,0.665,0.673,0.493,0.167,0.335,0.206,0.347,0.489
ROUGE-Lsum,0.767,0.871,0.528,0.403,0.684,0.628,0.626,0.552,0.804,0.743,0.68,0.586,0.663,0.337,0.825,0.915,0.86,0.665,0.683,0.698,0.518,0.37,0.433,0.934,0.937,0.937
VCS_LCT0,0.857,0.931,0.781,0.579,0.936,0.894,0.915,0.859,0.852,0.709,0.702,0.592,0.632,0.052,0.636,0.892,0.983,0.0,0.293,0.884,0.0,0.0,0.879,0.014,0.0,0.423
VCS_LCT1,0.857,0.966,0.89,0.852,0.937,0.9,0.925,0.873,0.853,0.791,0.718,0.61,0.659,0.166,0.636,0.892,0.983,0.0,0.293,0.884,0.0,0.0,0.889,0.456,0.241,0.423
