Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.845,0.826,0.574,0.246,0.8,0.726,0.597,0.251,0.726,0.616,0.555,0.455,0.351,0.008,0.819,0.843,0.785,0.671,0.509,0.601,0.495,0.277,0.109,1.0,1.0,1.0
BLEU-4,0.64,0.558,0.353,0.125,0.626,0.552,0.339,0.087,0.677,0.613,0.553,0.453,0.349,0.008,0.688,0.674,0.51,0.423,0.107,0.211,0.121,0.004,0.038,0.913,0.916,0.997
METEOR,0.894,0.918,0.566,0.352,0.908,0.87,0.699,0.28,0.888,0.828,0.846,0.819,0.463,0.165,0.884,0.871,0.829,0.728,0.544,0.67,0.553,0.218,0.233,0.58,0.635,0.659
ROUGE-1,0.85,0.919,0.775,0.588,0.883,0.838,0.737,0.561,0.84,0.763,0.715,0.627,0.657,0.298,0.851,0.846,0.791,0.699,0.524,0.623,0.505,0.305,0.444,1.0,1.0,1.0
ROUGE-4,0.487,0.442,0.298,0.15,0.543,0.486,0.251,0.075,0.73,0.757,0.71,0.621,0.646,0.28,0.606,0.54,0.338,0.277,0.019,0.077,0.025,0.0,0.063,0.828,0.836,0.994
ROUGE-L,0.846,0.808,0.716,0.521,0.864,0.815,0.655,0.438,0.84,0.763,0.715,0.627,0.657,0.298,0.851,0.844,0.772,0.697,0.48,0.593,0.491,0.144,0.359,0.215,0.344,0.552
ROUGE-Lsum,0.85,0.882,0.758,0.571,0.879,0.834,0.714,0.518,0.84,0.763,0.715,0.627,0.657,0.298,0.851,0.846,0.791,0.699,0.517,0.615,0.505,0.296,0.422,0.998,0.998,1.0
VCS_LCT0,0.963,0.988,0.967,0.844,0.98,0.963,0.955,0.793,0.856,0.749,0.778,0.687,0.632,0.0,0.726,0.854,0.969,0.071,0.441,0.843,0.162,0.0,0.801,0.0,0.037,0.438
VCS_LCT1,0.963,0.988,0.968,0.919,0.98,0.963,0.955,0.91,0.856,0.752,0.811,0.72,0.73,0.0,0.726,0.854,0.969,0.091,0.482,0.843,0.199,0.0,0.852,0.457,0.18,0.438
