Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.781,0.692,0.563,0.253,0.71,0.605,0.552,0.368,0.636,0.679,0.399,0.293,0.444,0.046,0.802,0.883,0.766,0.469,0.488,0.634,0.43,0.34,0.078,1.0,1.0,1.0
BLEU-4,0.496,0.371,0.235,0.081,0.39,0.287,0.245,0.147,0.555,0.676,0.395,0.289,0.436,0.045,0.618,0.73,0.423,0.09,0.08,0.183,0.035,0.005,0.024,0.827,0.837,0.997
METEOR,0.846,0.794,0.49,0.325,0.722,0.707,0.619,0.376,0.879,0.833,0.82,0.765,0.521,0.23,0.844,0.898,0.766,0.42,0.488,0.66,0.399,0.245,0.186,0.593,0.663,0.624
ROUGE-1,0.786,0.834,0.73,0.547,0.815,0.749,0.696,0.625,0.776,0.808,0.577,0.459,0.708,0.39,0.831,0.887,0.782,0.501,0.518,0.656,0.458,0.371,0.393,1.0,1.0,1.0
ROUGE-4,0.329,0.252,0.137,0.058,0.261,0.181,0.141,0.116,0.591,0.802,0.562,0.446,0.686,0.373,0.506,0.605,0.228,0.017,0.011,0.053,0.002,0.0,0.041,0.668,0.686,0.993
ROUGE-L,0.782,0.651,0.62,0.466,0.765,0.685,0.603,0.501,0.775,0.808,0.575,0.457,0.705,0.39,0.831,0.879,0.731,0.419,0.417,0.575,0.355,0.158,0.286,0.199,0.358,0.528
ROUGE-Lsum,0.786,0.772,0.725,0.541,0.811,0.743,0.689,0.613,0.776,0.808,0.577,0.459,0.708,0.39,0.831,0.887,0.782,0.497,0.511,0.647,0.453,0.365,0.383,0.998,0.998,1.0
VCS_LCT0,0.955,0.963,0.899,0.764,0.965,0.89,0.862,0.853,0.826,0.789,0.648,0.13,0.609,0.0,0.548,0.908,0.944,0.0,0.0,0.827,0.0,0.0,0.442,0.0,0.05,0.469
VCS_LCT1,0.955,0.964,0.947,0.851,0.966,0.892,0.868,0.888,0.829,0.786,0.653,0.148,0.655,0.039,0.548,0.908,0.944,0.0,0.0,0.863,0.0,0.0,0.544,0.466,0.182,0.469
