Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.888,0.817,0.452,0.213,0.74,0.651,0.646,0.419,0.645,0.663,0.555,0.457,0.437,0.086,0.824,0.901,0.805,0.753,0.468,0.742,0.454,0.313,0.033,1.0,1.0,1.0
BLEU-4,0.751,0.491,0.224,0.062,0.454,0.364,0.317,0.182,0.566,0.66,0.553,0.455,0.434,0.085,0.698,0.769,0.54,0.429,0.111,0.474,0.102,0.009,0.006,0.916,0.92,0.997
METEOR,0.93,0.874,0.426,0.246,0.715,0.697,0.638,0.358,0.865,0.868,0.877,0.847,0.53,0.289,0.899,0.912,0.839,0.767,0.455,0.791,0.45,0.23,0.131,0.597,0.638,0.657
ROUGE-1,0.9,0.904,0.701,0.533,0.803,0.754,0.733,0.646,0.785,0.798,0.717,0.63,0.709,0.454,0.863,0.904,0.824,0.758,0.489,0.752,0.477,0.33,0.329,1.0,1.0,1.0
ROUGE-4,0.661,0.344,0.18,0.05,0.317,0.237,0.201,0.129,0.605,0.791,0.711,0.624,0.698,0.437,0.619,0.654,0.371,0.238,0.025,0.312,0.023,0.0,0.007,0.832,0.843,0.993
ROUGE-L,0.9,0.705,0.648,0.439,0.732,0.676,0.635,0.526,0.784,0.798,0.717,0.63,0.709,0.454,0.863,0.902,0.795,0.745,0.462,0.746,0.461,0.153,0.207,0.236,0.38,0.547
ROUGE-Lsum,0.9,0.832,0.684,0.502,0.782,0.733,0.718,0.613,0.784,0.798,0.717,0.63,0.709,0.454,0.863,0.904,0.813,0.758,0.487,0.748,0.477,0.324,0.311,0.984,1.0,1.0
VCS_LCT0,0.964,0.887,0.959,0.863,0.95,0.951,0.846,0.832,0.877,0.771,0.729,0.57,0.666,0.131,0.683,0.707,0.975,0.0,0.0,0.659,0.0,0.0,0.588,0.006,0.103,0.459
VCS_LCT1,0.964,0.939,0.966,0.927,0.98,0.953,0.949,0.915,0.877,0.775,0.735,0.579,0.747,0.216,0.683,0.707,0.975,0.0,0.0,0.663,0.0,0.0,0.825,0.46,0.248,0.459
