Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.906,0.877,0.538,0.2,0.699,0.638,0.371,0.462,0.734,0.649,0.496,0.398,0.344,0.025,0.777,0.823,0.663,0.626,0.52,0.661,0.456,0.313,0.037,0.992,0.992,0.992
BLEU-4,0.767,0.678,0.297,0.058,0.395,0.341,0.11,0.172,0.683,0.628,0.49,0.393,0.333,0.024,0.605,0.652,0.33,0.32,0.141,0.314,0.084,0.005,0.007,0.88,0.885,0.982
METEOR,0.935,0.918,0.48,0.283,0.781,0.75,0.5,0.395,0.902,0.64,0.812,0.78,0.444,0.194,0.86,0.853,0.661,0.689,0.518,0.717,0.475,0.23,0.134,0.613,0.665,0.699
ROUGE-1,0.909,0.934,0.736,0.517,0.813,0.775,0.533,0.649,0.845,0.787,0.668,0.575,0.65,0.347,0.818,0.837,0.68,0.659,0.546,0.681,0.473,0.336,0.302,0.992,0.992,0.992
ROUGE-4,0.653,0.573,0.238,0.045,0.273,0.236,0.045,0.095,0.732,0.732,0.645,0.555,0.615,0.316,0.5,0.531,0.169,0.164,0.041,0.158,0.015,0.0,0.013,0.771,0.78,0.966
ROUGE-L,0.909,0.836,0.648,0.442,0.749,0.707,0.371,0.49,0.845,0.785,0.664,0.571,0.644,0.344,0.814,0.831,0.657,0.649,0.482,0.657,0.439,0.144,0.199,0.189,0.316,0.562
ROUGE-Lsum,0.909,0.887,0.719,0.499,0.806,0.772,0.501,0.59,0.845,0.787,0.668,0.575,0.65,0.347,0.818,0.833,0.68,0.657,0.542,0.679,0.471,0.332,0.279,0.96,0.971,0.992
VCS_LCT0,0.914,0.953,0.802,0.722,0.936,0.863,0.719,0.865,0.901,0.68,0.633,0.495,0.657,0.0,0.527,0.832,0.828,0.0,0.215,0.77,0.0,0.0,0.127,0.0,0.027,0.447
VCS_LCT1,0.955,0.977,0.85,0.805,0.938,0.868,0.737,0.914,0.904,0.757,0.64,0.502,0.72,0.0,0.534,0.834,0.837,0.0,0.259,0.78,0.0,0.0,0.326,0.448,0.116,0.453
