Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.833,0.845,0.56,0.281,0.687,0.455,0.428,0.407,0.718,0.641,0.572,0.474,0.493,0.046,0.881,0.879,0.814,0.58,0.663,0.661,0.523,0.317,0.03,1.0,1.0,1.0
BLEU-4,0.614,0.64,0.3,0.103,0.304,0.154,0.134,0.134,0.632,0.622,0.57,0.472,0.49,0.045,0.734,0.711,0.559,0.229,0.324,0.274,0.119,0.005,0.005,0.921,0.923,0.997
METEOR,0.894,0.95,0.512,0.339,0.685,0.523,0.494,0.381,0.886,0.802,0.869,0.842,0.561,0.24,0.898,0.894,0.866,0.607,0.707,0.72,0.53,0.222,0.138,0.588,0.643,0.678
ROUGE-1,0.841,0.934,0.727,0.559,0.779,0.613,0.569,0.623,0.831,0.779,0.729,0.645,0.735,0.395,0.886,0.883,0.829,0.599,0.679,0.678,0.54,0.346,0.308,0.997,0.997,0.997
ROUGE-4,0.467,0.55,0.22,0.079,0.154,0.076,0.055,0.062,0.648,0.729,0.719,0.635,0.717,0.379,0.622,0.582,0.386,0.086,0.162,0.126,0.027,0.0,0.01,0.835,0.839,0.984
ROUGE-L,0.841,0.839,0.668,0.476,0.685,0.487,0.458,0.49,0.828,0.779,0.729,0.645,0.735,0.395,0.882,0.875,0.815,0.589,0.667,0.649,0.511,0.15,0.228,0.234,0.395,0.544
ROUGE-Lsum,0.841,0.912,0.714,0.545,0.758,0.588,0.545,0.605,0.831,0.779,0.729,0.645,0.735,0.395,0.882,0.883,0.819,0.595,0.671,0.672,0.534,0.331,0.291,0.974,0.972,0.997
VCS_LCT0,0.933,0.934,0.957,0.851,0.969,0.847,0.794,0.856,0.901,0.683,0.729,0.612,0.621,0.05,0.76,0.904,0.985,0.0,0.604,0.816,0.342,0.0,0.752,0.0,0.0,0.414
VCS_LCT1,0.933,0.985,0.973,0.913,0.969,0.853,0.843,0.938,0.902,0.807,0.745,0.626,0.651,0.205,0.76,0.904,0.985,0.0,0.606,0.816,0.343,0.0,0.768,0.467,0.144,0.414
