Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.798,0.8,0.259,0.198,0.624,0.535,0.589,0.241,0.783,0.646,0.638,0.526,0.48,0.022,0.881,0.926,0.777,0.685,0.494,0.692,0.492,0.319,0.016,0.996,0.996,0.996
BLEU-4,0.565,0.481,0.097,0.063,0.269,0.197,0.21,0.037,0.722,0.637,0.633,0.521,0.473,0.022,0.755,0.824,0.509,0.392,0.108,0.342,0.109,0.008,0.003,0.936,0.943,0.989
METEOR,0.871,0.819,0.314,0.295,0.58,0.545,0.619,0.264,0.919,0.771,0.848,0.824,0.537,0.201,0.898,0.939,0.822,0.745,0.488,0.75,0.535,0.227,0.113,0.604,0.651,0.629
ROUGE-1,0.806,0.899,0.548,0.532,0.732,0.666,0.694,0.472,0.878,0.782,0.778,0.689,0.728,0.342,0.883,0.927,0.787,0.713,0.51,0.7,0.504,0.344,0.244,0.991,0.991,0.991
ROUGE-4,0.414,0.367,0.089,0.055,0.163,0.117,0.086,0.012,0.749,0.749,0.755,0.668,0.701,0.324,0.647,0.734,0.334,0.225,0.028,0.178,0.026,0.0,0.014,0.861,0.872,0.965
ROUGE-L,0.804,0.722,0.448,0.435,0.641,0.572,0.571,0.305,0.878,0.781,0.777,0.688,0.725,0.342,0.883,0.927,0.779,0.705,0.467,0.69,0.45,0.161,0.191,0.245,0.383,0.508
ROUGE-Lsum,0.806,0.838,0.521,0.508,0.711,0.649,0.668,0.44,0.878,0.781,0.778,0.689,0.728,0.342,0.883,0.927,0.783,0.709,0.504,0.696,0.489,0.338,0.223,0.991,0.989,0.991
VCS_LCT0,0.964,0.934,0.892,0.847,0.921,0.874,0.915,0.776,0.902,0.715,0.73,0.67,0.645,0.0,0.643,0.857,0.977,0.083,0.021,0.723,0.0,0.0,0.611,0.0,0.095,0.444
VCS_LCT1,0.964,0.94,0.893,0.857,0.922,0.889,0.918,0.79,0.902,0.824,0.743,0.688,0.833,0.0,0.643,0.857,0.977,0.083,0.021,0.728,0.0,0.0,0.635,0.395,0.253,0.444
