Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.813,0.807,0.648,0.496,0.698,0.531,0.655,0.497,0.741,0.651,0.531,0.444,0.34,0.02,0.841,0.836,0.835,0.6,0.481,0.642,0.457,0.361,0.09,1.0,1.0,1.0
BLEU-4,0.58,0.521,0.416,0.289,0.358,0.202,0.318,0.227,0.663,0.649,0.526,0.44,0.337,0.02,0.688,0.618,0.615,0.223,0.073,0.292,0.05,0.005,0.029,0.909,0.916,0.997
METEOR,0.848,0.869,0.626,0.452,0.672,0.573,0.598,0.413,0.88,0.838,0.824,0.794,0.432,0.193,0.902,0.859,0.868,0.63,0.479,0.681,0.443,0.252,0.176,0.55,0.57,0.579
ROUGE-1,0.824,0.9,0.779,0.703,0.774,0.676,0.738,0.681,0.849,0.783,0.691,0.613,0.642,0.333,0.872,0.842,0.845,0.612,0.496,0.659,0.475,0.382,0.391,0.99,0.99,0.99
ROUGE-4,0.421,0.377,0.323,0.241,0.226,0.114,0.183,0.149,0.68,0.76,0.666,0.59,0.622,0.304,0.583,0.458,0.466,0.081,0.011,0.153,0.002,0.0,0.042,0.799,0.81,0.965
ROUGE-L,0.817,0.739,0.731,0.667,0.685,0.569,0.641,0.559,0.847,0.782,0.689,0.611,0.642,0.333,0.864,0.834,0.828,0.601,0.458,0.629,0.432,0.168,0.304,0.237,0.329,0.524
ROUGE-Lsum,0.824,0.855,0.777,0.7,0.758,0.661,0.727,0.658,0.849,0.783,0.691,0.613,0.642,0.333,0.872,0.842,0.845,0.61,0.494,0.655,0.471,0.373,0.378,0.952,0.971,0.965
VCS_LCT0,0.955,0.956,0.954,0.92,0.967,0.865,0.956,0.864,0.882,0.777,0.54,0.427,0.649,0.044,0.625,0.836,0.968,0.0,0.076,0.831,0.0,0.0,0.738,0.0,0.077,0.455
VCS_LCT1,0.955,0.977,0.98,0.966,0.969,0.867,0.957,0.951,0.885,0.801,0.559,0.458,0.697,0.094,0.643,0.836,0.977,0.0,0.076,0.831,0.0,0.0,0.818,0.423,0.234,0.455
