Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.739,0.775,0.864,0.598,0.798,0.693,0.623,0.644,0.793,0.68,0.531,0.444,0.409,0.025,0.802,0.838,0.748,0.647,0.511,0.615,0.506,0.301,0.06,1.0,1.0,1.0
BLEU-4,0.479,0.404,0.773,0.383,0.571,0.45,0.322,0.344,0.746,0.677,0.529,0.442,0.406,0.025,0.624,0.635,0.431,0.275,0.1,0.221,0.104,0.005,0.015,0.908,0.912,0.997
METEOR,0.817,0.761,0.874,0.604,0.879,0.825,0.645,0.546,0.927,0.853,0.846,0.818,0.495,0.205,0.856,0.867,0.801,0.683,0.539,0.676,0.515,0.226,0.152,0.571,0.595,0.606
ROUGE-1,0.747,0.888,0.931,0.793,0.866,0.801,0.752,0.787,0.883,0.81,0.695,0.616,0.692,0.351,0.832,0.844,0.761,0.653,0.526,0.62,0.512,0.332,0.334,1.0,1.0,1.0
ROUGE-4,0.319,0.228,0.743,0.332,0.44,0.341,0.203,0.239,0.782,0.804,0.69,0.611,0.681,0.334,0.502,0.485,0.243,0.118,0.017,0.082,0.022,0.0,0.027,0.815,0.826,0.994
ROUGE-L,0.742,0.693,0.924,0.76,0.834,0.766,0.661,0.674,0.883,0.81,0.695,0.616,0.692,0.351,0.83,0.842,0.737,0.647,0.511,0.616,0.499,0.159,0.228,0.256,0.382,0.501
ROUGE-Lsum,0.747,0.82,0.931,0.788,0.86,0.799,0.74,0.772,0.883,0.81,0.695,0.616,0.692,0.351,0.832,0.844,0.759,0.649,0.522,0.618,0.508,0.324,0.317,0.998,1.0,1.0
VCS_LCT0,0.894,0.97,0.981,0.957,0.981,0.939,0.93,0.892,0.894,0.792,0.739,0.662,0.625,0.083,0.505,0.919,0.917,0.0,0.369,0.776,0.0,0.0,0.538,0.0,0.072,0.444
VCS_LCT1,0.894,0.983,0.991,0.958,0.981,0.94,0.931,0.949,0.899,0.795,0.743,0.672,0.698,0.26,0.505,0.919,0.917,0.0,0.377,0.778,0.0,0.0,0.752,0.452,0.158,0.444
