Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.828,0.754,0.506,0.218,0.75,0.512,0.477,0.324,0.811,0.679,0.551,0.451,0.189,0.011,0.871,0.869,0.809,0.652,0.553,0.65,0.475,0.339,0.028,1.0,1.0,1.0
BLEU-4,0.599,0.468,0.245,0.065,0.485,0.225,0.15,0.072,0.763,0.663,0.549,0.449,0.187,0.01,0.681,0.723,0.546,0.269,0.156,0.261,0.059,0.009,0.006,0.911,0.913,0.997
METEOR,0.871,0.92,0.491,0.299,0.85,0.672,0.502,0.293,0.944,0.799,0.844,0.816,0.361,0.175,0.882,0.898,0.856,0.679,0.582,0.677,0.454,0.244,0.152,0.595,0.656,0.637
ROUGE-1,0.835,0.89,0.715,0.545,0.843,0.689,0.627,0.551,0.894,0.81,0.714,0.625,0.546,0.302,0.871,0.877,0.824,0.66,0.566,0.676,0.496,0.37,0.321,1.0,1.0,1.0
ROUGE-4,0.438,0.34,0.172,0.048,0.364,0.147,0.064,0.027,0.795,0.773,0.708,0.62,0.532,0.284,0.541,0.607,0.366,0.104,0.047,0.107,0.006,0.002,0.007,0.827,0.831,0.994
ROUGE-L,0.814,0.733,0.646,0.454,0.813,0.602,0.484,0.363,0.89,0.81,0.714,0.625,0.546,0.302,0.854,0.873,0.801,0.654,0.528,0.625,0.44,0.155,0.246,0.222,0.342,0.539
ROUGE-Lsum,0.833,0.815,0.705,0.539,0.839,0.676,0.602,0.516,0.894,0.81,0.714,0.625,0.546,0.302,0.871,0.877,0.82,0.658,0.558,0.665,0.491,0.366,0.311,0.975,0.99,1.0
VCS_LCT0,0.937,0.944,0.942,0.832,0.944,0.893,0.85,0.847,0.861,0.7,0.759,0.647,0.569,0.0,0.605,0.915,0.963,0.0,0.199,0.562,0.0,0.0,0.656,0.0,0.103,0.416
VCS_LCT1,0.938,0.958,0.944,0.873,0.945,0.894,0.852,0.873,0.863,0.759,0.763,0.656,0.626,0.0,0.605,0.915,0.964,0.0,0.199,0.567,0.0,0.0,0.72,0.421,0.194,0.419
