Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.785,0.707,0.389,0.18,0.522,0.477,0.399,0.246,0.598,0.624,0.395,0.291,0.426,0.01,0.838,0.888,0.807,0.514,0.551,0.678,0.493,0.337,0.048,0.97,0.97,0.97
BLEU-4,0.53,0.408,0.161,0.05,0.189,0.172,0.144,0.074,0.511,0.578,0.384,0.282,0.411,0.009,0.718,0.747,0.556,0.121,0.115,0.283,0.024,0.005,0.009,0.796,0.804,0.944
METEOR,0.842,0.827,0.379,0.253,0.608,0.584,0.484,0.278,0.834,0.674,0.807,0.754,0.519,0.183,0.902,0.905,0.85,0.439,0.53,0.705,0.492,0.232,0.173,0.588,0.643,0.625
ROUGE-1,0.8,0.841,0.632,0.502,0.665,0.621,0.555,0.504,0.751,0.77,0.575,0.459,0.696,0.297,0.872,0.889,0.814,0.532,0.564,0.688,0.51,0.356,0.319,0.983,0.983,0.983
ROUGE-4,0.376,0.295,0.115,0.041,0.086,0.084,0.078,0.047,0.548,0.651,0.538,0.428,0.656,0.263,0.644,0.635,0.398,0.03,0.022,0.119,0.0,0.0,0.017,0.641,0.649,0.929
ROUGE-L,0.789,0.687,0.56,0.402,0.539,0.494,0.425,0.361,0.751,0.769,0.571,0.455,0.687,0.293,0.872,0.887,0.797,0.47,0.48,0.66,0.446,0.15,0.244,0.206,0.323,0.535
ROUGE-Lsum,0.8,0.792,0.609,0.492,0.641,0.601,0.545,0.472,0.751,0.769,0.575,0.459,0.696,0.297,0.872,0.889,0.812,0.528,0.562,0.686,0.506,0.351,0.298,0.963,0.972,0.981
VCS_LCT0,0.965,0.956,0.69,0.78,0.847,0.838,0.778,0.658,0.857,0.694,0.708,0.143,0.605,0.0,0.708,0.917,0.928,0.0,0.0,0.847,0.0,0.0,0.607,0.0,0.0,0.439
VCS_LCT1,0.972,0.972,0.762,0.818,0.893,0.873,0.791,0.833,0.861,0.768,0.719,0.163,0.625,0.0,0.708,0.917,0.952,0.0,0.0,0.848,0.0,0.0,0.721,0.468,0.069,0.442
