Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.885,0.721,0.171,0.144,0.765,0.632,0.705,0.089,0.864,0.634,0.593,0.48,0.19,0.0,0.916,0.839,0.858,0.782,0.746,0.671,0.62,0.349,0.028,1.0,1.0,1.0
BLEU-4,0.74,0.439,0.073,0.05,0.475,0.289,0.394,0.03,0.828,0.633,0.588,0.476,0.187,0.0,0.821,0.652,0.646,0.561,0.45,0.286,0.283,0.01,0.008,0.941,0.938,0.997
METEOR,0.921,0.858,0.284,0.221,0.791,0.712,0.674,0.198,0.971,0.835,0.829,0.799,0.365,0.119,0.934,0.867,0.909,0.806,0.789,0.704,0.649,0.243,0.157,0.599,0.664,0.702
ROUGE-1,0.888,0.877,0.505,0.494,0.832,0.753,0.79,0.414,0.925,0.77,0.737,0.643,0.539,0.206,0.925,0.847,0.86,0.783,0.75,0.683,0.627,0.373,0.333,0.987,0.987,0.987
ROUGE-4,0.627,0.314,0.104,0.069,0.326,0.168,0.25,0.045,0.851,0.743,0.708,0.617,0.508,0.185,0.746,0.514,0.49,0.406,0.263,0.118,0.122,0.0,0.031,0.84,0.836,0.956
ROUGE-L,0.888,0.7,0.436,0.414,0.781,0.635,0.706,0.306,0.923,0.767,0.737,0.643,0.539,0.206,0.925,0.839,0.853,0.783,0.733,0.645,0.614,0.163,0.268,0.241,0.37,0.517
ROUGE-Lsum,0.888,0.82,0.49,0.478,0.822,0.73,0.78,0.395,0.925,0.768,0.737,0.643,0.539,0.206,0.925,0.845,0.855,0.783,0.746,0.672,0.621,0.356,0.319,0.944,0.941,0.987
VCS_LCT0,0.958,0.819,0.873,0.851,0.901,0.911,0.961,0.786,0.943,0.706,0.658,0.491,0.541,0.0,0.802,0.834,0.961,0.364,0.475,0.496,0.0,0.0,0.742,0.061,0.0,0.374
VCS_LCT1,0.959,0.895,0.879,0.859,0.971,0.916,0.961,0.792,0.943,0.71,0.669,0.507,0.588,0.0,0.805,0.843,0.984,0.376,0.486,0.51,0.0,0.0,0.78,0.412,0.1,0.374
