Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.836,0.763,0.296,0.168,0.614,0.511,0.509,0.263,0.509,0.682,0.401,0.291,0.426,0.038,0.768,0.801,0.775,0.446,0.481,0.592,0.461,0.408,0.032,0.996,0.996,0.996
BLEU-4,0.645,0.397,0.109,0.064,0.28,0.179,0.184,0.081,0.4,0.636,0.397,0.288,0.419,0.037,0.586,0.544,0.501,0.09,0.061,0.128,0.055,0.011,0.007,0.827,0.828,0.989
METEOR,0.885,0.857,0.286,0.228,0.535,0.496,0.497,0.252,0.745,0.648,0.823,0.765,0.521,0.232,0.865,0.823,0.815,0.438,0.479,0.617,0.457,0.257,0.128,0.544,0.607,0.554
ROUGE-1,0.854,0.873,0.573,0.482,0.727,0.653,0.648,0.497,0.677,0.796,0.57,0.45,0.684,0.37,0.816,0.801,0.796,0.465,0.489,0.6,0.475,0.42,0.301,0.975,0.975,0.975
ROUGE-4,0.523,0.236,0.078,0.078,0.166,0.093,0.093,0.066,0.418,0.666,0.535,0.422,0.642,0.342,0.468,0.368,0.341,0.013,0.004,0.028,0.004,0.0,0.014,0.63,0.628,0.927
ROUGE-L,0.845,0.697,0.45,0.367,0.642,0.556,0.525,0.369,0.671,0.793,0.565,0.446,0.682,0.37,0.814,0.786,0.774,0.455,0.452,0.557,0.446,0.176,0.212,0.21,0.293,0.524
ROUGE-Lsum,0.854,0.82,0.548,0.47,0.719,0.642,0.638,0.483,0.677,0.796,0.57,0.45,0.684,0.37,0.816,0.801,0.794,0.465,0.489,0.596,0.475,0.414,0.301,0.966,0.975,0.975
VCS_LCT0,0.984,0.967,0.75,0.686,0.884,0.803,0.791,0.711,0.723,0.683,0.593,0.206,0.624,0.0,0.41,0.817,0.954,0.0,0.006,0.686,0.0,0.0,0.588,0.0,0.0,0.433
VCS_LCT1,0.985,0.967,0.798,0.773,0.887,0.808,0.805,0.844,0.729,0.711,0.603,0.229,0.667,0.127,0.419,0.818,0.955,0.0,0.012,0.695,0.0,0.0,0.657,0.45,0.014,0.437
