Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.837,0.774,0.303,0.205,0.68,0.612,0.623,0.223,0.731,0.68,0.587,0.473,0.284,0.017,0.895,0.877,0.833,0.583,0.512,0.624,0.501,0.304,0.122,1.0,1.0,1.0
BLEU-4,0.613,0.493,0.161,0.078,0.352,0.271,0.237,0.078,0.679,0.677,0.584,0.471,0.282,0.017,0.822,0.725,0.558,0.252,0.111,0.249,0.06,0.005,0.029,0.922,0.925,0.997
METEOR,0.889,0.849,0.328,0.268,0.619,0.596,0.594,0.271,0.927,0.829,0.807,0.781,0.385,0.181,0.944,0.906,0.871,0.656,0.5,0.668,0.449,0.216,0.195,0.564,0.619,0.58
ROUGE-1,0.841,0.87,0.589,0.519,0.769,0.733,0.731,0.516,0.843,0.81,0.742,0.645,0.613,0.331,0.919,0.883,0.84,0.609,0.53,0.657,0.524,0.323,0.403,1.0,1.0,1.0
ROUGE-4,0.45,0.385,0.175,0.08,0.242,0.162,0.111,0.069,0.729,0.804,0.736,0.639,0.6,0.313,0.779,0.613,0.38,0.111,0.024,0.111,0.007,0.0,0.022,0.848,0.855,0.993
ROUGE-L,0.835,0.727,0.511,0.428,0.696,0.623,0.584,0.385,0.841,0.81,0.742,0.645,0.613,0.331,0.919,0.876,0.81,0.605,0.469,0.611,0.419,0.151,0.258,0.256,0.463,0.597
ROUGE-Lsum,0.839,0.84,0.574,0.492,0.759,0.716,0.714,0.49,0.843,0.81,0.742,0.645,0.613,0.331,0.919,0.881,0.832,0.609,0.523,0.646,0.515,0.31,0.381,0.97,1.0,1.0
VCS_LCT0,0.948,0.945,0.877,0.828,0.941,0.875,0.904,0.842,0.774,0.751,0.663,0.484,0.625,0.0,0.705,0.83,0.969,0.0,0.0,0.755,0.0,0.0,0.833,0.0,0.0,0.402
VCS_LCT1,0.948,0.967,0.921,0.895,0.962,0.898,0.941,0.864,0.774,0.746,0.671,0.499,0.701,0.0,0.705,0.83,0.969,0.0,0.0,0.755,0.0,0.0,0.841,0.435,0.214,0.402
