Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.71,0.676,0.427,0.35,0.566,0.504,0.567,0.411,0.711,0.655,0.541,0.449,0.238,0.024,0.712,0.896,0.809,0.448,0.441,0.667,0.454,0.324,0.14,0.991,0.991,0.991
BLEU-4,0.425,0.259,0.198,0.135,0.167,0.139,0.214,0.129,0.651,0.636,0.535,0.444,0.233,0.023,0.478,0.734,0.534,0.075,0.062,0.238,0.046,0.005,0.028,0.901,0.9,0.981
METEOR,0.799,0.79,0.385,0.341,0.569,0.556,0.556,0.34,0.858,0.757,0.836,0.81,0.378,0.197,0.806,0.909,0.87,0.435,0.437,0.702,0.426,0.222,0.205,0.58,0.598,0.608
ROUGE-1,0.734,0.837,0.657,0.606,0.679,0.645,0.685,0.594,0.831,0.79,0.706,0.625,0.574,0.341,0.766,0.899,0.821,0.459,0.474,0.681,0.478,0.345,0.429,0.987,0.987,0.987
ROUGE-4,0.277,0.14,0.166,0.098,0.069,0.058,0.118,0.076,0.699,0.73,0.68,0.602,0.54,0.31,0.345,0.609,0.369,0.017,0.011,0.095,0.006,0.0,0.025,0.803,0.805,0.956
ROUGE-L,0.728,0.607,0.57,0.534,0.572,0.526,0.579,0.431,0.831,0.787,0.704,0.623,0.571,0.338,0.764,0.895,0.796,0.436,0.43,0.644,0.421,0.155,0.31,0.242,0.364,0.509
ROUGE-Lsum,0.734,0.763,0.636,0.598,0.665,0.631,0.671,0.555,0.831,0.789,0.706,0.625,0.574,0.341,0.766,0.899,0.815,0.455,0.463,0.679,0.472,0.328,0.417,0.937,0.973,0.987
VCS_LCT0,0.953,0.969,0.958,0.936,0.928,0.866,0.94,0.901,0.908,0.691,0.741,0.637,0.662,0.0,0.328,0.943,0.982,0.0,0.0,0.782,0.0,0.0,0.846,0.0,0.03,0.458
VCS_LCT1,0.953,0.969,0.958,0.937,0.929,0.871,0.94,0.936,0.909,0.734,0.762,0.669,0.714,0.021,0.328,0.943,0.982,0.0,0.0,0.786,0.0,0.0,0.862,0.433,0.136,0.458
