Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.877,0.801,0.325,0.156,0.673,0.558,0.546,0.34,0.625,0.661,0.574,0.468,0.351,0.026,0.845,0.906,0.836,0.626,0.482,0.687,0.454,0.32,0.171,1.0,1.0,1.0
BLEU-4,0.71,0.496,0.13,0.071,0.371,0.248,0.214,0.108,0.536,0.644,0.571,0.465,0.349,0.025,0.708,0.781,0.617,0.228,0.074,0.321,0.023,0.008,0.036,0.924,0.928,0.997
METEOR,0.92,0.843,0.356,0.271,0.795,0.683,0.608,0.352,0.853,0.777,0.834,0.801,0.446,0.195,0.902,0.919,0.874,0.659,0.511,0.707,0.464,0.245,0.256,0.614,0.682,0.655
ROUGE-1,0.884,0.901,0.611,0.534,0.803,0.717,0.686,0.592,0.776,0.787,0.727,0.636,0.641,0.348,0.874,0.912,0.848,0.647,0.512,0.702,0.471,0.347,0.467,0.988,0.988,0.988
ROUGE-4,0.594,0.351,0.117,0.115,0.253,0.157,0.111,0.072,0.582,0.73,0.703,0.614,0.602,0.318,0.624,0.676,0.461,0.084,0.016,0.157,0.0,0.0,0.016,0.824,0.829,0.96
ROUGE-L,0.88,0.701,0.51,0.433,0.769,0.648,0.585,0.45,0.776,0.787,0.724,0.633,0.641,0.348,0.867,0.91,0.834,0.622,0.463,0.684,0.428,0.145,0.337,0.214,0.359,0.507
ROUGE-Lsum,0.884,0.818,0.567,0.492,0.796,0.707,0.67,0.549,0.776,0.787,0.726,0.635,0.641,0.348,0.874,0.91,0.848,0.643,0.494,0.693,0.46,0.334,0.435,0.956,0.949,0.988
VCS_LCT0,0.969,0.948,0.806,0.686,0.866,0.882,0.891,0.801,0.851,0.576,0.646,0.412,0.579,0.0,0.464,0.924,0.961,0.0,0.413,0.73,0.0,0.0,0.768,0.0,0.0,0.412
VCS_LCT1,0.969,0.971,0.856,0.856,0.94,0.884,0.896,0.902,0.851,0.666,0.649,0.414,0.643,0.0,0.475,0.927,0.962,0.0,0.431,0.73,0.0,0.0,0.86,0.41,0.15,0.415
