Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.78,0.759,0.523,0.467,0.725,0.614,0.671,0.384,0.743,0.647,0.536,0.449,0.363,0.013,0.854,0.884,0.773,0.557,0.511,0.665,0.468,0.307,0.157,1.0,1.0,1.0
BLEU-4,0.506,0.397,0.274,0.258,0.482,0.355,0.371,0.163,0.689,0.646,0.532,0.446,0.359,0.013,0.664,0.743,0.459,0.19,0.121,0.245,0.075,0.004,0.054,0.91,0.915,0.997
METEOR,0.842,0.767,0.457,0.442,0.792,0.722,0.691,0.336,0.875,0.828,0.8,0.776,0.429,0.17,0.872,0.907,0.82,0.599,0.525,0.73,0.469,0.215,0.208,0.527,0.582,0.584
ROUGE-1,0.787,0.863,0.728,0.709,0.813,0.745,0.775,0.61,0.855,0.781,0.699,0.622,0.654,0.311,0.859,0.888,0.783,0.576,0.539,0.693,0.499,0.346,0.43,0.984,0.984,0.984
ROUGE-4,0.344,0.241,0.225,0.235,0.372,0.263,0.255,0.125,0.736,0.753,0.666,0.592,0.635,0.293,0.533,0.629,0.289,0.072,0.039,0.088,0.012,0.0,0.056,0.793,0.805,0.953
ROUGE-L,0.781,0.658,0.667,0.663,0.776,0.687,0.695,0.486,0.855,0.773,0.693,0.616,0.654,0.311,0.859,0.88,0.749,0.561,0.491,0.656,0.454,0.148,0.34,0.234,0.344,0.562
ROUGE-Lsum,0.787,0.807,0.723,0.704,0.81,0.74,0.764,0.597,0.855,0.781,0.699,0.622,0.654,0.311,0.859,0.888,0.777,0.574,0.532,0.685,0.495,0.34,0.419,0.935,0.971,0.984
VCS_LCT0,0.945,0.937,0.953,0.894,0.984,0.943,0.897,0.889,0.787,0.779,0.695,0.52,0.671,0.0,0.557,0.866,0.961,0.147,0.013,0.81,0.0,0.0,0.756,0.0,0.034,0.441
VCS_LCT1,0.946,0.97,0.97,0.96,0.984,0.944,0.942,0.918,0.792,0.776,0.715,0.536,0.753,0.0,0.57,0.867,0.961,0.17,0.032,0.812,0.0,0.0,0.829,0.401,0.237,0.444
