Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.838,0.851,0.689,0.493,0.683,0.594,0.634,0.683,0.681,0.661,0.55,0.451,0.452,0.023,0.821,0.881,0.824,0.662,0.602,0.585,0.465,0.299,0.069,1.0,1.0,1.0
BLEU-4,0.662,0.487,0.481,0.307,0.422,0.323,0.351,0.356,0.618,0.658,0.544,0.446,0.45,0.023,0.67,0.733,0.579,0.331,0.256,0.173,0.087,0.008,0.015,0.916,0.914,0.997
METEOR,0.891,0.904,0.684,0.473,0.765,0.74,0.676,0.6,0.865,0.816,0.81,0.78,0.501,0.18,0.893,0.907,0.868,0.688,0.633,0.585,0.486,0.21,0.166,0.575,0.652,0.643
ROUGE-1,0.848,0.93,0.809,0.711,0.801,0.745,0.756,0.764,0.808,0.782,0.704,0.617,0.694,0.338,0.857,0.886,0.837,0.682,0.615,0.611,0.492,0.32,0.345,0.975,0.975,0.975
ROUGE-4,0.542,0.318,0.403,0.277,0.317,0.243,0.256,0.23,0.664,0.733,0.647,0.568,0.636,0.311,0.576,0.621,0.417,0.166,0.12,0.052,0.017,0.0,0.016,0.767,0.769,0.919
ROUGE-L,0.846,0.713,0.777,0.673,0.752,0.681,0.69,0.682,0.808,0.777,0.698,0.612,0.694,0.338,0.855,0.884,0.827,0.67,0.591,0.574,0.446,0.151,0.254,0.207,0.312,0.522
ROUGE-Lsum,0.846,0.843,0.809,0.708,0.798,0.742,0.75,0.749,0.808,0.778,0.702,0.616,0.694,0.338,0.857,0.886,0.837,0.682,0.607,0.607,0.483,0.312,0.329,0.965,0.975,0.975
VCS_LCT0,0.86,0.976,0.978,0.953,0.951,0.911,0.961,0.939,0.913,0.794,0.744,0.617,0.687,0.0,0.377,0.907,0.976,0.0,0.197,0.754,0.0,0.0,0.628,0.0,0.009,0.403
VCS_LCT1,0.861,0.981,0.978,0.955,0.966,0.931,0.962,0.973,0.913,0.798,0.774,0.66,0.722,0.068,0.38,0.907,0.976,0.0,0.206,0.754,0.0,0.0,0.769,0.407,0.157,0.403
