Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.833,0.843,0.399,0.267,0.514,0.457,0.562,0.209,0.734,0.641,0.631,0.537,0.515,0.053,0.907,0.858,0.841,0.734,0.525,0.604,0.501,0.338,0.1,1.0,1.0,1.0
BLEU-4,0.6,0.65,0.183,0.079,0.192,0.16,0.233,0.048,0.672,0.635,0.628,0.534,0.512,0.052,0.833,0.675,0.628,0.424,0.097,0.194,0.08,0.009,0.025,0.946,0.948,0.996
METEOR,0.88,0.945,0.419,0.302,0.588,0.555,0.564,0.242,0.884,0.72,0.843,0.823,0.554,0.247,0.944,0.876,0.879,0.76,0.542,0.642,0.521,0.246,0.191,0.59,0.62,0.655
ROUGE-1,0.839,0.927,0.639,0.563,0.682,0.629,0.693,0.452,0.845,0.763,0.762,0.689,0.732,0.402,0.928,0.86,0.844,0.738,0.538,0.611,0.518,0.369,0.405,0.972,0.972,0.972
ROUGE-4,0.441,0.577,0.142,0.051,0.13,0.109,0.123,0.036,0.712,0.711,0.712,0.644,0.685,0.383,0.788,0.544,0.479,0.26,0.014,0.064,0.012,0.0,0.032,0.823,0.831,0.916
ROUGE-L,0.839,0.845,0.561,0.471,0.61,0.549,0.563,0.294,0.839,0.761,0.756,0.684,0.732,0.402,0.928,0.855,0.832,0.724,0.505,0.59,0.487,0.164,0.302,0.254,0.419,0.543
ROUGE-Lsum,0.839,0.894,0.621,0.534,0.672,0.619,0.659,0.417,0.843,0.761,0.76,0.687,0.732,0.402,0.928,0.858,0.842,0.738,0.534,0.604,0.508,0.355,0.377,0.969,0.969,0.969
VCS_LCT0,0.94,0.978,0.856,0.892,0.874,0.809,0.931,0.609,0.854,0.737,0.663,0.541,0.583,0.0,0.738,0.843,0.973,0.511,0.2,0.655,0.336,0.0,0.757,0.0,0.169,0.38
VCS_LCT1,0.94,0.986,0.909,0.909,0.875,0.817,0.931,0.755,0.854,0.871,0.683,0.57,0.699,0.0,0.738,0.843,0.973,0.511,0.2,0.655,0.336,0.0,0.785,0.446,0.353,0.38
