Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.942,0.857,0.54,0.359,0.737,0.684,0.665,0.588,0.746,0.676,0.538,0.445,0.407,0.051,0.715,0.892,0.813,0.693,0.704,0.771,0.493,0.316,0.072,1.0,1.0,1.0
BLEU-4,0.855,0.668,0.325,0.173,0.479,0.412,0.344,0.253,0.685,0.673,0.535,0.443,0.404,0.05,0.487,0.762,0.509,0.345,0.405,0.474,0.1,0.008,0.022,0.912,0.917,0.997
METEOR,0.958,0.928,0.544,0.409,0.831,0.811,0.661,0.486,0.922,0.84,0.793,0.766,0.454,0.224,0.809,0.909,0.861,0.727,0.756,0.823,0.518,0.218,0.181,0.589,0.646,0.676
ROUGE-1,0.943,0.932,0.762,0.652,0.861,0.828,0.775,0.767,0.854,0.808,0.704,0.621,0.689,0.398,0.76,0.893,0.827,0.699,0.711,0.784,0.512,0.344,0.374,1.0,1.0,1.0
ROUGE-4,0.781,0.581,0.291,0.158,0.409,0.351,0.221,0.173,0.721,0.802,0.695,0.613,0.677,0.381,0.35,0.648,0.313,0.164,0.237,0.287,0.018,0.0,0.034,0.827,0.832,0.993
ROUGE-L,0.941,0.843,0.696,0.565,0.802,0.765,0.673,0.625,0.852,0.808,0.703,0.62,0.689,0.398,0.76,0.893,0.796,0.69,0.697,0.762,0.464,0.148,0.29,0.222,0.343,0.675
ROUGE-Lsum,0.943,0.887,0.746,0.626,0.849,0.814,0.741,0.749,0.854,0.808,0.704,0.621,0.689,0.398,0.76,0.893,0.825,0.697,0.708,0.775,0.497,0.333,0.364,0.903,0.947,1.0
VCS_LCT0,0.974,0.956,0.939,0.843,0.84,0.824,0.842,0.857,0.871,0.754,0.769,0.688,0.675,0.0,0.448,0.848,0.963,0.428,0.709,0.892,0.0,0.0,0.691,0.0,0.049,0.409
VCS_LCT1,0.976,0.976,0.959,0.882,0.904,0.901,0.928,0.913,0.877,0.756,0.781,0.69,0.724,0.014,0.468,0.85,0.969,0.438,0.709,0.892,0.0,0.0,0.797,0.413,0.213,0.412
