Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.837,0.724,0.152,0.064,0.617,0.531,0.523,0.326,0.736,0.624,0.542,0.442,0.391,0.019,0.848,0.861,0.762,0.634,0.599,0.773,0.502,0.337,0.068,1.0,1.0,1.0
BLEU-4,0.642,0.405,0.046,0.017,0.284,0.225,0.168,0.137,0.683,0.609,0.539,0.439,0.388,0.018,0.695,0.676,0.449,0.287,0.243,0.474,0.107,0.005,0.011,0.914,0.915,0.997
METEOR,0.911,0.81,0.218,0.179,0.595,0.586,0.512,0.313,0.893,0.768,0.832,0.799,0.48,0.179,0.873,0.881,0.789,0.648,0.661,0.802,0.553,0.23,0.162,0.571,0.622,0.632
ROUGE-1,0.844,0.868,0.444,0.362,0.74,0.676,0.634,0.58,0.849,0.762,0.699,0.61,0.67,0.322,0.867,0.866,0.779,0.647,0.61,0.778,0.519,0.355,0.342,0.99,0.99,0.99
ROUGE-4,0.501,0.278,0.054,0.041,0.17,0.141,0.07,0.112,0.732,0.715,0.684,0.596,0.641,0.282,0.587,0.536,0.28,0.126,0.099,0.287,0.022,0.0,0.014,0.81,0.81,0.97
ROUGE-L,0.844,0.714,0.366,0.281,0.645,0.573,0.474,0.469,0.849,0.762,0.699,0.61,0.67,0.322,0.867,0.859,0.729,0.643,0.597,0.771,0.492,0.167,0.228,0.255,0.353,0.554
ROUGE-Lsum,0.844,0.813,0.423,0.345,0.726,0.66,0.61,0.56,0.849,0.762,0.697,0.608,0.664,0.322,0.867,0.862,0.772,0.647,0.608,0.773,0.512,0.338,0.315,0.927,0.966,0.99
VCS_LCT0,0.962,0.914,0.784,0.55,0.86,0.78,0.82,0.852,0.852,0.701,0.705,0.628,0.632,0.0,0.672,0.732,0.93,0.0,0.215,0.609,0.0,0.0,0.611,0.0,0.05,0.431
VCS_LCT1,0.962,0.94,0.879,0.77,0.87,0.795,0.84,0.92,0.856,0.732,0.712,0.635,0.714,0.0,0.679,0.739,0.939,0.0,0.241,0.621,0.0,0.0,0.796,0.443,0.281,0.44
