Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.789,0.785,0.178,0.165,0.768,0.679,0.713,0.227,0.742,0.69,0.631,0.519,0.429,0.064,0.928,0.87,0.801,0.759,0.694,0.661,0.586,0.334,0.048,1.0,1.0,1.0
BLEU-4,0.521,0.53,0.054,0.028,0.478,0.383,0.363,0.064,0.692,0.687,0.622,0.512,0.42,0.061,0.841,0.697,0.545,0.434,0.387,0.243,0.183,0.011,0.012,0.939,0.939,0.997
METEOR,0.844,0.909,0.237,0.226,0.678,0.644,0.583,0.265,0.874,0.856,0.825,0.799,0.485,0.236,0.938,0.887,0.85,0.789,0.738,0.694,0.61,0.235,0.179,0.572,0.641,0.609
ROUGE-1,0.798,0.892,0.513,0.486,0.835,0.778,0.776,0.524,0.854,0.814,0.773,0.683,0.693,0.408,0.935,0.874,0.812,0.767,0.708,0.677,0.61,0.359,0.367,0.997,0.997,0.997
ROUGE-4,0.348,0.423,0.039,0.009,0.36,0.28,0.229,0.038,0.744,0.802,0.746,0.659,0.655,0.36,0.768,0.56,0.365,0.238,0.215,0.088,0.061,0.0,0.017,0.87,0.87,0.984
ROUGE-L,0.788,0.79,0.395,0.335,0.768,0.714,0.655,0.372,0.854,0.814,0.771,0.682,0.69,0.405,0.935,0.874,0.8,0.757,0.696,0.648,0.589,0.16,0.246,0.294,0.414,0.608
ROUGE-Lsum,0.792,0.867,0.472,0.441,0.819,0.766,0.756,0.493,0.854,0.814,0.773,0.683,0.693,0.408,0.935,0.874,0.808,0.761,0.696,0.669,0.604,0.353,0.325,0.939,0.974,0.997
VCS_LCT0,0.935,0.938,0.76,0.603,0.84,0.887,0.9,0.762,0.842,0.764,0.705,0.648,0.664,0.0,0.732,0.858,0.977,0.422,0.505,0.763,0.345,0.0,0.576,0.0,0.0,0.445
VCS_LCT1,0.935,0.958,0.878,0.808,0.891,0.923,0.952,0.802,0.849,0.792,0.753,0.677,0.699,0.176,0.741,0.858,0.977,0.422,0.525,0.77,0.358,0.0,0.655,0.411,0.087,0.453
