Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.779,0.76,0.277,0.28,0.644,0.594,0.519,0.388,0.746,0.695,0.661,0.592,0.369,0.015,0.92,0.929,0.846,0.664,0.59,0.653,0.559,0.336,0.095,0.996,0.996,0.996
BLEU-4,0.539,0.414,0.104,0.117,0.31,0.271,0.202,0.091,0.682,0.684,0.656,0.588,0.364,0.015,0.828,0.823,0.625,0.352,0.223,0.307,0.172,0.005,0.021,0.946,0.951,0.989
METEOR,0.856,0.786,0.308,0.318,0.639,0.625,0.538,0.35,0.904,0.813,0.854,0.839,0.472,0.189,0.93,0.94,0.876,0.709,0.629,0.672,0.601,0.224,0.194,0.604,0.655,0.635
ROUGE-1,0.794,0.864,0.575,0.582,0.759,0.731,0.677,0.589,0.856,0.818,0.796,0.745,0.666,0.32,0.927,0.931,0.86,0.672,0.624,0.674,0.59,0.353,0.396,0.989,0.989,0.989
ROUGE-4,0.39,0.29,0.091,0.133,0.182,0.156,0.102,0.031,0.718,0.774,0.765,0.716,0.643,0.302,0.755,0.73,0.473,0.198,0.087,0.164,0.057,0.0,0.031,0.88,0.89,0.957
ROUGE-L,0.788,0.638,0.468,0.484,0.662,0.617,0.532,0.445,0.854,0.813,0.791,0.74,0.663,0.32,0.927,0.928,0.845,0.665,0.586,0.646,0.542,0.156,0.3,0.228,0.469,0.503
ROUGE-Lsum,0.792,0.786,0.542,0.557,0.732,0.701,0.652,0.558,0.856,0.815,0.796,0.745,0.663,0.32,0.927,0.931,0.857,0.669,0.607,0.667,0.582,0.342,0.371,0.968,0.964,0.987
VCS_LCT0,0.774,0.974,0.89,0.891,0.877,0.864,0.857,0.9,0.916,0.635,0.706,0.703,0.561,0.0,0.567,0.945,0.983,0.175,0.28,0.8,0.157,0.0,0.802,0.0,0.16,0.334
VCS_LCT1,0.782,0.974,0.94,0.897,0.878,0.865,0.863,0.941,0.919,0.724,0.719,0.743,0.61,0.091,0.567,0.945,0.983,0.222,0.307,0.815,0.19,0.0,0.821,0.455,0.227,0.334
