Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.757,0.855,0.216,0.343,0.633,0.564,0.547,0.539,0.694,0.686,0.577,0.461,0.366,0.025,0.845,0.823,0.906,0.658,0.574,0.616,0.445,0.311,0.144,1.0,1.0,1.0
BLEU-4,0.46,0.664,0.051,0.15,0.276,0.249,0.219,0.21,0.614,0.672,0.574,0.458,0.363,0.024,0.678,0.601,0.745,0.342,0.221,0.246,0.076,0.005,0.034,0.921,0.921,0.996
METEOR,0.827,0.916,0.237,0.35,0.703,0.671,0.589,0.41,0.902,0.829,0.846,0.814,0.477,0.21,0.867,0.848,0.93,0.673,0.584,0.657,0.446,0.251,0.226,0.625,0.721,0.673
ROUGE-1,0.77,0.921,0.539,0.629,0.761,0.708,0.709,0.664,0.818,0.806,0.727,0.627,0.652,0.345,0.859,0.826,0.912,0.662,0.582,0.64,0.46,0.367,0.476,0.988,0.988,0.988
ROUGE-4,0.279,0.582,0.03,0.145,0.152,0.141,0.122,0.117,0.641,0.754,0.701,0.605,0.606,0.296,0.557,0.435,0.615,0.172,0.083,0.109,0.016,0.0,0.024,0.808,0.811,0.956
ROUGE-L,0.751,0.824,0.348,0.545,0.642,0.598,0.557,0.539,0.816,0.806,0.727,0.627,0.652,0.345,0.859,0.826,0.894,0.66,0.574,0.625,0.447,0.162,0.339,0.264,0.421,0.506
ROUGE-Lsum,0.767,0.887,0.487,0.605,0.741,0.697,0.677,0.642,0.818,0.806,0.727,0.627,0.652,0.345,0.859,0.826,0.912,0.662,0.579,0.638,0.457,0.359,0.433,0.975,0.988,0.988
VCS_LCT0,0.934,0.966,0.881,0.927,0.941,0.913,0.874,0.827,0.893,0.71,0.638,0.545,0.627,0.0,0.612,0.741,0.983,0.0,0.0,0.372,0.0,0.0,0.477,0.029,0.004,0.42
VCS_LCT1,0.934,0.987,0.889,0.929,0.941,0.913,0.878,0.829,0.898,0.741,0.64,0.548,0.743,0.0,0.612,0.741,0.983,0.0,0.0,0.372,0.0,0.0,0.638,0.456,0.199,0.42
