Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.82,0.823,0.359,0.221,0.688,0.605,0.553,0.125,0.65,0.66,0.492,0.407,0.33,0.058,0.884,0.911,0.81,0.731,0.614,0.724,0.557,0.342,0.081,0.991,0.991,0.991
BLEU-4,0.584,0.516,0.159,0.07,0.38,0.312,0.191,0.016,0.574,0.637,0.486,0.402,0.321,0.057,0.797,0.79,0.57,0.415,0.259,0.404,0.168,0.005,0.02,0.875,0.872,0.98
METEOR,0.906,0.868,0.351,0.256,0.738,0.709,0.56,0.157,0.837,0.699,0.771,0.745,0.425,0.224,0.936,0.93,0.863,0.774,0.667,0.814,0.627,0.249,0.173,0.595,0.653,0.631
ROUGE-1,0.827,0.906,0.588,0.506,0.79,0.739,0.668,0.376,0.789,0.796,0.663,0.582,0.638,0.413,0.908,0.912,0.82,0.735,0.62,0.731,0.569,0.378,0.391,0.995,0.995,0.995
ROUGE-4,0.427,0.361,0.126,0.055,0.259,0.205,0.08,0.007,0.613,0.741,0.648,0.568,0.606,0.395,0.744,0.687,0.405,0.236,0.115,0.232,0.049,0.0,0.022,0.771,0.766,0.974
ROUGE-L,0.822,0.759,0.49,0.422,0.72,0.66,0.514,0.234,0.789,0.796,0.663,0.582,0.638,0.413,0.908,0.912,0.813,0.733,0.597,0.724,0.556,0.159,0.298,0.22,0.411,0.552
ROUGE-Lsum,0.824,0.836,0.565,0.49,0.778,0.729,0.648,0.349,0.789,0.796,0.662,0.581,0.638,0.413,0.908,0.912,0.815,0.735,0.618,0.731,0.565,0.367,0.38,0.972,0.984,0.995
VCS_LCT0,0.966,0.9,0.875,0.784,0.93,0.932,0.913,0.706,0.865,0.719,0.731,0.658,0.548,0.0,0.629,0.918,0.971,0.026,0.523,0.894,0.252,0.0,0.716,0.0,0.0,0.416
VCS_LCT1,0.967,0.925,0.904,0.846,0.958,0.941,0.949,0.728,0.869,0.749,0.746,0.682,0.597,0.0,0.629,0.918,0.971,0.056,0.55,0.896,0.273,0.0,0.742,0.417,0.0,0.416
