Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.897,0.889,0.908,0.949,0.932,0.949,0.949,0.869
2,0.851,0.843,0.868,0.923,0.906,0.923,0.923,0.886
3,0.771,0.764,0.806,0.884,0.865,0.884,0.884,0.766
4,0.726,0.715,0.771,0.861,0.829,0.861,0.861,0.797
5,0.59,0.579,0.672,0.791,0.756,0.791,0.791,0.601
6,0.458,0.445,0.587,0.721,0.675,0.721,0.721,0.576
7,0.375,0.358,0.519,0.673,0.605,0.673,0.673,0.657
8,0.241,0.231,0.38,0.588,0.535,0.588,0.588,0.576
9,0.163,0.16,0.338,0.53,0.496,0.53,0.53,0.311
10,0.03,0.029,0.202,0.358,0.316,0.358,0.358,0.0
