Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.891,0.885,0.979,0.943,0.932,0.943,0.943,0.905
2,0.808,0.802,0.96,0.896,0.885,0.896,0.896,0.877
3,0.739,0.734,0.95,0.853,0.842,0.853,0.853,0.806
4,0.687,0.682,0.941,0.818,0.807,0.818,0.818,0.798
5,0.64,0.635,0.93,0.784,0.773,0.784,0.784,0.763
6,0.592,0.587,0.92,0.749,0.738,0.749,0.749,0.674
7,0.558,0.553,0.908,0.722,0.711,0.722,0.722,0.558
8,0.525,0.521,0.899,0.694,0.683,0.694,0.694,0.45
9,0.495,0.491,0.891,0.667,0.657,0.667,0.667,0.371
10,0.466,0.462,0.881,0.642,0.632,0.642,0.642,0.306
