Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.883,0.876,0.983,0.939,0.926,0.939,0.939,0.885
2,0.799,0.792,0.969,0.89,0.877,0.89,0.89,0.793
3,0.729,0.723,0.958,0.843,0.83,0.843,0.843,0.811
4,0.671,0.665,0.944,0.802,0.789,0.802,0.802,0.755
5,0.619,0.613,0.931,0.762,0.75,0.762,0.762,0.765
6,0.568,0.562,0.918,0.724,0.712,0.724,0.724,0.589
7,0.532,0.527,0.908,0.694,0.682,0.694,0.694,0.624
8,0.498,0.493,0.897,0.664,0.652,0.664,0.664,0.503
9,0.467,0.462,0.887,0.636,0.625,0.636,0.636,0.49
10,0.442,0.438,0.877,0.612,0.601,0.612,0.612,0.492
