Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A3-A1,0.843,0.63,0.699,0.897,0.559,0.869,0.891,0.955,0.985
A3-A2,0.485,0.1,0.365,0.607,0.031,0.441,0.577,0.859,0.911
A3-A4,0.804,0.608,0.665,0.89,0.582,0.853,0.887,0.926,0.965
