Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A3-A1,0.674,0.258,0.49,0.743,0.123,0.536,0.708,0.867,0.87
A3-A2,0.412,0.14,0.341,0.591,0.08,0.408,0.573,0.695,0.738
A3-A4,0.6,0.222,0.454,0.715,0.119,0.495,0.696,0.789,0.837
