Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A3-A2,0.288,0.049,0.25,0.469,0.019,0.276,0.428,0.563,0.768
A3-A1,0.858,0.722,0.796,0.929,0.69,0.903,0.924,0.8,0.915
A3-A4,0.581,0.393,0.551,0.772,0.377,0.694,0.77,0.78,0.854
