Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A3-A1,0.772,0.412,0.654,0.817,0.27,0.694,0.8,0.837,0.929
A3-A2,0.505,0.139,0.402,0.63,0.064,0.445,0.595,0.87,0.876
A3-A4,0.685,0.3,0.561,0.775,0.186,0.612,0.746,0.932,0.934
