Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A3-A2,0.571,0.183,0.421,0.633,0.078,0.485,0.617,0.704,0.773
A3-A1,0.998,0.994,1.0,0.999,0.992,0.999,0.999,0.986,0.986
A3-A4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
