Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A3-A2,0.401,0.064,0.319,0.544,0.017,0.319,0.502,0.859,0.864
A3-A1,0.966,0.9,0.937,0.979,0.863,0.966,0.975,0.943,0.959
A3-A4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
