Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Adjacent Neighbor Swap,Rotate Half Paragraph
BLEU-1,0.842,0.696,0.414,0.308,0.561,0.45,0.53,0.314,0.683,0.58,0.474,0.248,0.002,0.493,0.36,0.069,1.0,1.0,1.0
BLEU-4,0.633,0.363,0.244,0.119,0.228,0.157,0.194,0.083,0.618,0.577,0.471,0.246,0.002,0.072,0.006,0.017,0.923,0.923,0.997
METEOR,0.881,0.771,0.439,0.33,0.624,0.574,0.529,0.286,0.862,0.799,0.774,0.377,0.108,0.493,0.238,0.174,0.586,0.818,0.599
ROUGE-1,0.849,0.825,0.682,0.623,0.706,0.624,0.668,0.549,0.811,0.728,0.638,0.58,0.233,0.514,0.377,0.387,0.983,0.983,0.983
ROUGE-4,0.488,0.24,0.24,0.104,0.119,0.082,0.096,0.041,0.664,0.693,0.607,0.557,0.213,0.009,0.0,0.024,0.814,0.814,0.943
ROUGE-L,0.84,0.653,0.653,0.502,0.597,0.504,0.511,0.394,0.811,0.724,0.635,0.58,0.233,0.467,0.163,0.288,0.25,0.64,0.525
ROUGE-Lsum,0.849,0.768,0.67,0.608,0.681,0.596,0.635,0.514,0.811,0.728,0.638,0.58,0.233,0.507,0.355,0.356,0.981,0.975,0.983
VCS_C1_LCT0,0.983,0.959,0.885,0.861,0.899,0.852,0.921,0.851,0.895,0.766,0.686,0.652,0.0,0.0,0.0,0.814,0.0,0.0,0.431
VCS_C1_LCT1,0.983,0.967,0.942,0.937,0.901,0.856,0.941,0.891,0.895,0.772,0.69,0.71,0.0,0.0,0.0,0.864,0.471,0.679,0.431
