Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Adjacent Neighbor Swap,Rotate Half Paragraph
BLEU-1,0.884,0.873,0.794,0.206,0.69,0.607,0.607,0.321,0.751,0.559,0.449,0.506,0.048,0.524,0.329,0.128,0.995,0.973,0.995
BLEU-4,0.77,0.731,0.643,0.092,0.456,0.378,0.263,0.118,0.71,0.544,0.437,0.486,0.047,0.113,0.005,0.037,0.92,0.87,0.99
METEOR,0.917,0.906,0.831,0.278,0.782,0.767,0.589,0.325,0.883,0.795,0.766,0.513,0.222,0.578,0.232,0.214,0.623,0.817,0.631
ROUGE-1,0.901,0.91,0.882,0.521,0.806,0.748,0.693,0.578,0.854,0.717,0.621,0.728,0.381,0.548,0.362,0.395,0.989,0.975,0.989
ROUGE-4,0.693,0.654,0.589,0.119,0.368,0.303,0.135,0.089,0.766,0.663,0.573,0.657,0.341,0.028,0.0,0.033,0.825,0.756,0.959
ROUGE-L,0.901,0.848,0.867,0.442,0.761,0.69,0.563,0.46,0.854,0.714,0.618,0.72,0.381,0.527,0.145,0.31,0.233,0.665,0.544
ROUGE-Lsum,0.901,0.885,0.874,0.496,0.792,0.735,0.658,0.546,0.854,0.717,0.621,0.728,0.381,0.546,0.346,0.372,0.916,0.916,0.989
VCS_C1_LCT0,0.949,0.937,0.921,0.783,0.827,0.847,0.927,0.783,0.869,0.679,0.551,0.646,0.0,0.182,0.0,0.811,0.0,0.0,0.423
VCS_C1_LCT1,0.987,0.968,0.941,0.856,0.924,0.933,0.959,0.886,0.874,0.703,0.576,0.712,0.0,0.192,0.0,0.827,0.441,0.772,0.423
