Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Adjacent Neighbor Swap,Rotate Half Paragraph
BLEU-1,0.877,0.746,0.47,0.224,0.667,0.578,0.52,0.592,0.665,0.507,0.393,0.313,0.012,0.419,0.307,0.119,1.0,1.0,1.0
BLEU-4,0.726,0.34,0.26,0.082,0.319,0.256,0.186,0.272,0.587,0.505,0.391,0.311,0.012,0.06,0.005,0.039,0.888,0.888,0.997
METEOR,0.92,0.834,0.45,0.293,0.692,0.641,0.579,0.481,0.815,0.846,0.807,0.445,0.185,0.425,0.223,0.197,0.594,0.862,0.594
ROUGE-1,0.891,0.876,0.718,0.558,0.791,0.74,0.67,0.726,0.793,0.677,0.569,0.634,0.313,0.441,0.321,0.422,1.0,1.0,1.0
ROUGE-4,0.615,0.189,0.222,0.095,0.204,0.18,0.1,0.161,0.62,0.672,0.564,0.622,0.295,0.015,0.0,0.045,0.783,0.783,0.993
ROUGE-L,0.885,0.635,0.651,0.448,0.686,0.624,0.528,0.584,0.788,0.677,0.569,0.634,0.313,0.38,0.14,0.323,0.233,0.665,0.551
ROUGE-Lsum,0.891,0.8,0.71,0.536,0.77,0.717,0.65,0.7,0.792,0.677,0.569,0.634,0.313,0.434,0.317,0.41,0.97,0.994,1.0
VCS_C1_LCT0,0.955,0.863,0.941,0.545,0.941,0.956,0.907,0.869,0.903,0.795,0.726,0.617,0.0,0.0,0.0,0.293,0.0,0.0,0.451
VCS_C1_LCT1,0.981,0.953,0.964,0.712,0.959,0.957,0.949,0.948,0.904,0.804,0.734,0.635,0.075,0.0,0.0,0.449,0.447,0.829,0.451
