Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.847,0.832,0.442,0.174,0.706,0.59,0.554,0.248,0.676,0.683,0.556,0.459,0.262,0.005,0.824,0.871,0.842,0.473,0.634,0.623,0.459,0.324,0.038,1.0,1.0,1.0
BLEU-4,0.671,0.625,0.217,0.066,0.413,0.29,0.279,0.041,0.608,0.68,0.547,0.452,0.253,0.005,0.66,0.716,0.631,0.083,0.295,0.247,0.08,0.005,0.005,0.915,0.917,0.997
METEOR,0.879,0.875,0.438,0.3,0.731,0.656,0.635,0.286,0.87,0.831,0.794,0.769,0.38,0.14,0.858,0.891,0.882,0.448,0.687,0.672,0.441,0.213,0.131,0.621,0.671,0.639
ROUGE-1,0.859,0.909,0.683,0.508,0.815,0.736,0.697,0.511,0.807,0.8,0.708,0.625,0.578,0.259,0.85,0.877,0.856,0.487,0.649,0.643,0.473,0.342,0.288,0.983,0.983,0.983
ROUGE-4,0.545,0.551,0.173,0.075,0.282,0.182,0.192,0.02,0.652,0.766,0.664,0.585,0.517,0.198,0.551,0.588,0.483,0.015,0.142,0.092,0.015,0.0,0.003,0.792,0.798,0.944
ROUGE-L,0.859,0.84,0.64,0.422,0.72,0.626,0.593,0.328,0.807,0.799,0.706,0.622,0.575,0.259,0.85,0.877,0.843,0.422,0.638,0.619,0.414,0.139,0.169,0.205,0.332,0.539
ROUGE-Lsum,0.859,0.884,0.672,0.496,0.776,0.701,0.671,0.47,0.807,0.799,0.708,0.625,0.578,0.259,0.85,0.877,0.856,0.474,0.646,0.638,0.465,0.329,0.274,0.905,0.953,0.983
VCS_C1_LCT0,0.988,0.955,0.943,0.866,0.898,0.851,0.8,0.811,0.787,0.782,0.534,0.329,0.481,0.0,0.343,0.831,0.967,0.0,0.382,0.783,0.0,0.0,0.439,0.0,0.146,0.444
VCS_C1_LCT1,0.988,0.981,0.953,0.881,0.906,0.858,0.832,0.814,0.799,0.782,0.547,0.355,0.492,0.0,0.382,0.833,0.967,0.0,0.413,0.786,0.0,0.0,0.519,0.413,0.24,0.46
