Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Adjacent Neighbor Swap,Rotate Half Paragraph
BLEU-1,0.853,0.717,0.637,0.611,0.7,0.569,0.606,0.574,0.752,0.585,0.48,0.314,0.016,0.491,0.307,0.129,1.0,0.996,1.0
BLEU-4,0.663,0.392,0.462,0.432,0.43,0.284,0.311,0.314,0.707,0.58,0.476,0.31,0.016,0.161,0.005,0.042,0.925,0.921,0.997
METEOR,0.892,0.803,0.584,0.571,0.763,0.644,0.613,0.486,0.916,0.843,0.815,0.428,0.177,0.485,0.217,0.198,0.568,0.821,0.584
ROUGE-1,0.856,0.857,0.823,0.81,0.805,0.725,0.746,0.753,0.857,0.738,0.648,0.62,0.318,0.507,0.324,0.45,0.99,0.988,0.99
ROUGE-4,0.535,0.261,0.442,0.416,0.327,0.202,0.232,0.252,0.757,0.709,0.623,0.581,0.289,0.059,0.0,0.045,0.825,0.822,0.964
ROUGE-L,0.856,0.648,0.796,0.775,0.757,0.654,0.653,0.652,0.857,0.734,0.646,0.62,0.318,0.494,0.143,0.361,0.244,0.637,0.539
ROUGE-Lsum,0.856,0.783,0.818,0.803,0.793,0.707,0.722,0.736,0.857,0.738,0.648,0.62,0.318,0.507,0.321,0.434,0.986,0.988,0.986
VCS_C1_LCT0,0.95,0.971,0.964,0.964,0.951,0.875,0.941,0.92,0.915,0.753,0.65,0.586,0.0,0.0,0.0,0.64,0.0,0.0,0.396
VCS_C1_LCT1,0.95,0.971,0.979,0.979,0.97,0.902,0.941,0.939,0.915,0.791,0.691,0.682,0.049,0.0,0.0,0.833,0.411,0.679,0.396
