Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.987,0.733,0.476,0.348,0.704,0.589,0.566,0.48,0.672,0.618,0.606,0.494,0.4,0.026,0.868,0.863,0.83,0.691,0.576,0.585,0.475,0.343,0.06,1.0,1.0,1.0
BLEU-4,0.968,0.375,0.303,0.177,0.375,0.261,0.264,0.23,0.607,0.615,0.603,0.492,0.397,0.026,0.754,0.685,0.608,0.374,0.219,0.194,0.092,0.009,0.019,0.932,0.926,0.997
METEOR,0.99,0.73,0.456,0.374,0.7,0.621,0.603,0.428,0.865,0.855,0.879,0.851,0.511,0.216,0.904,0.871,0.85,0.724,0.562,0.571,0.445,0.237,0.175,0.619,0.632,0.641
ROUGE-1,0.987,0.849,0.717,0.639,0.81,0.733,0.706,0.69,0.803,0.755,0.751,0.659,0.677,0.35,0.886,0.861,0.848,0.701,0.587,0.615,0.503,0.355,0.357,0.987,0.987,0.987
ROUGE-4,0.952,0.24,0.317,0.175,0.243,0.162,0.177,0.165,0.656,0.73,0.724,0.634,0.657,0.333,0.669,0.535,0.461,0.201,0.087,0.07,0.016,0.0,0.034,0.833,0.826,0.957
ROUGE-L,0.987,0.649,0.674,0.591,0.716,0.626,0.59,0.593,0.801,0.755,0.748,0.656,0.677,0.35,0.886,0.857,0.824,0.692,0.563,0.591,0.478,0.157,0.27,0.256,0.388,0.547
ROUGE-Lsum,0.987,0.79,0.695,0.625,0.789,0.712,0.692,0.669,0.803,0.755,0.749,0.657,0.677,0.35,0.886,0.861,0.848,0.701,0.579,0.615,0.494,0.342,0.337,0.97,0.987,0.987
VCS_C1_LCT0,0.959,0.962,0.957,0.846,0.964,0.878,0.879,0.965,0.844,0.753,0.726,0.551,0.679,0.0,0.452,0.878,0.979,0.0,0.0,0.82,0.0,0.0,0.8,0.0,0.0,0.421
VCS_C1_LCT1,0.993,0.962,0.969,0.951,0.965,0.882,0.882,0.966,0.845,0.759,0.732,0.566,0.721,0.0,0.452,0.881,0.979,0.0,0.0,0.82,0.0,0.0,0.822,0.413,0.038,0.421
