Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.862,0.862,0.807,0.925,0.924,0.925,0.925,0.896
2,0.814,0.814,0.729,0.902,0.9,0.902,0.902,0.82
3,0.667,0.667,0.575,0.823,0.819,0.823,0.823,0.723
4,0.62,0.62,0.533,0.799,0.794,0.799,0.799,0.654
5,0.454,0.454,0.412,0.709,0.702,0.709,0.709,0.534
6,0.325,0.325,0.34,0.632,0.623,0.632,0.632,0.332
7,0.183,0.183,0.293,0.534,0.522,0.534,0.534,0.108
8,0.091,0.091,0.225,0.448,0.433,0.448,0.448,0.0
9,0.035,0.035,0.174,0.368,0.35,0.368,0.368,0.0
10,0.013,0.013,0.14,0.312,0.291,0.312,0.312,0.0
