Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A3-A1,0.496,0.238,0.42,0.713,0.171,0.607,0.689,0.711,0.757
A3-A2,0.385,0.075,0.288,0.55,0.024,0.379,0.529,0.758,0.854
A3-A4,1.0,0.992,1.0,1.0,0.983,0.974,1.0,0.976,0.983
