Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A3-A1,0.584,0.172,0.474,0.65,0.065,0.44,0.606,0.812,0.911
A3-A2,0.45,0.104,0.366,0.608,0.039,0.389,0.548,0.817,0.907
A3-A4,0.526,0.193,0.458,0.651,0.095,0.446,0.601,0.928,0.928
