Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A3-A1,0.936,0.807,0.87,0.945,0.719,0.932,0.943,0.906,0.937
A3-A2,0.448,0.162,0.393,0.584,0.086,0.433,0.553,0.833,0.888
A3-A4,0.965,0.903,0.938,0.971,0.857,0.965,0.971,0.971,0.981
