Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_C1_LCT0,VCS_C1_LCT1
A3-A1,0.611,0.22,0.473,0.715,0.129,0.563,0.695,0.868,0.917
A3-A2,0.467,0.117,0.365,0.636,0.05,0.449,0.595,0.849,0.922
A3-A4,0.583,0.23,0.453,0.707,0.123,0.515,0.672,0.896,0.936
